id,band_1,band_2,inc_angle
01d46a63,"[[-16.525894 -19.953751 -16.620691 ... -19.146795 -19.538641 -18.412209]
 [-16.156292 -15.460983 -16.339027 ... -19.146795 -18.295683 -18.295616]
 [-16.912064 -14.81729  -13.067174 ... -17.311455 -21.149099 -18.295683]
 ...
 [-14.364801 -16.621548 -15.461643 ... -16.90811  -15.797699 -17.312046]
 [-14.513282 -17.213997 -13.067899 ... -17.312178 -17.007313 -16.809832]
 [-15.630438 -17.112406 -14.075113 ... -16.90811  -19.406818 -18.412998]]","[[-22.932596 -24.437551 -23.132151 ... -22.541817 -22.172085 -21.817444]
 [-24.437683 -21.997728 -22.359629 ... -23.331987 -24.201237 -26.254417]
 [-23.760517 -22.176826 -21.481518 ... -26.254616 -27.838173 -24.670858]
 ...
 [-24.676392 -21.998455 -20.239285 ... -21.818363 -22.35574  -21.149757]
 [-25.432163 -22.738125 -20.533751 ... -23.976471 -27.49823  -23.976341]
 [-21.823042 -20.533817 -19.815498 ... -24.433729 -25.168118 -24.916271]]",35.7863
1ae12a6e,"[[-14.05308  -13.576157 -13.777454 ... -11.789111 -11.62882  -14.941407]
 [-15.333908 -13.44462  -14.783626 ... -14.414759 -15.177238 -13.319092]
 [-18.191769 -13.845578 -14.783626 ... -17.33732  -15.177238 -14.864268]
 ...
 [-15.924372 -13.512963 -13.848437 ... -18.781845 -18.781914 -21.280758]
 [-16.743614 -18.194696 -17.336203 ... -14.866995 -18.312363 -17.759003]
 [-17.54295  -17.97197  -16.648825 ... -12.944181 -18.312363 -17.443119]]","[[-24.32584  -24.557549 -23.252285 ... -25.296049 -25.55542  -27.298492]
 [-21.77018  -26.379227 -22.666567 ... -26.098463 -26.982609 -27.966967]
 [-19.934772 -22.666494 -22.666567 ... -22.300873 -26.982609 -27.626371]
 ...
 [-25.821373 -22.482487 -20.076677 ... -23.463509 -24.107273 -28.324409]
 [-28.320217 -24.10322  -25.295002 ... -23.463577 -22.673477 -24.564669]
 [-25.821512 -25.821512 -23.668903 ... -24.802513 -22.673477 -22.303879]]",35.3112
b110c6bf,"[[-17.95994  -17.426966 -19.92581  ... -21.765175 -21.268772 -18.770067]
 [-18.527916 -19.01066  -20.206093 ... -24.320976 -20.210121 -21.268911]
 [-20.349596 -20.349596 -20.206093 ... -22.291893 -22.661562 -24.552753]
 ...
 [-21.935997 -23.450413 -21.764065 ... -23.878229 -25.8165   -19.52869 ]
 [-20.067566 -19.791868 -19.013577 ... -21.59943  -21.112316 -19.398142]
 [-19.39397  -19.39397  -19.013577 ... -20.651009 -21.112316 -22.855389]]","[[-23.243113 -23.243181 -22.108698 ... -25.035217 -23.24728  -22.112797]
 [-25.282972 -22.657463 -24.091398 ... -27.61718  -22.852468 -23.875587]
 [-25.283043 -25.283043 -24.091398 ... -29.896118 -27.617252 -26.973627]
 ...
 [-23.659721 -24.789349 -27.288191 ... -25.038069 -23.454514 -24.793518]
 [-27.288122 -24.551432 -26.667578 ... -24.793449 -24.555532 -26.671679]
 [-26.972305 -26.972305 -26.667578 ... -24.555532 -24.555532 -27.620173]]",35.3125
5cb21dc1,"[[-16.985489 -16.788139 -15.689577 ... -12.030075 -10.969568 -12.734852]
 [-16.985489 -16.595112 -14.637908 ... -11.06992   -9.935432 -11.752677]
 [-17.606174 -16.130516 -13.837804 ... -11.590189 -10.02452  -11.17164 ]
 ...
 [-14.412936 -19.255222 -21.291265 ... -20.218246 -20.364296 -20.364361]
 [-13.105875 -22.151894 -21.456717 ... -19.523003 -18.879374 -17.193022]
 [-13.769243 -16.788919 -17.086815 ... -18.514812 -17.828793 -16.891748]]","[[-24.894514 -25.14636  -21.972084 ... -19.932655 -20.973301 -24.65457 ]
 [-24.894514 -24.411905 -21.796604 ... -23.111118 -22.338598 -23.739418]
 [-25.672874 -24.180267 -22.334045 ... -26.238064 -25.150976 -23.739418]
 ...
 [-26.528694 -26.528759 -25.406504 ... -23.1119   -25.151758 -26.238976]
 [-23.955362 -24.412685 -23.311798 ... -24.65522  -25.411057 -24.417366]
 [-24.412621 -23.521042 -22.521627 ... -25.678272 -25.678337 -23.316414]]",36.55
a62d8a88,"[[-18.253242 -19.379671 -22.013172 ... -17.58033  -18.617023 -20.994375]
 [-20.369318 -18.61277  -19.247118 ... -19.383863 -25.271912 -22.578001]
 [-23.596678 -21.15242  -20.830744 ... -20.67837  -24.046518 -21.838329]
 ...
 [-20.221436 -19.514936 -20.370035 ... -19.936134 -18.740829 -19.251972]
 [-20.075451 -20.674774 -20.674835 ... -17.912916 -16.55794  -18.258217]
 [-17.908661 -18.022263 -18.613428 ... -17.690248 -17.690248 -19.65604 ]]","[[-28.033653 -24.273903 -23.816704 ... -33.363262 -31.559792 -27.683449]
 [-26.389919 -25.534937 -29.193611 ... -29.621529 -25.814955 -26.394291]
 [-28.40332  -27.33847  -27.338531 ... -28.407574 -23.820898 -24.278217]
 ...
 [-25.268196 -25.8113   -24.757235 ... -29.622131 -27.68399  -28.038626]
 [-25.535477 -26.695375 -26.695435 ... -26.100307 -27.015514 -30.067778]
 [-28.03425  -28.403978 -30.533144 ... -25.539791 -25.539791 -26.394892]]",38.0736
9d128f64,"[[-19.011705 -17.672821 -18.256039 ... -20.288126 -19.147408 -14.981939]
 [-21.598713 -19.144421 -19.144421 ... -19.842648 -19.842648 -15.851254]
 [-21.082571 -19.144421 -18.377573 ... -18.02104  -16.715757 -17.675962]
 ...
 [-23.363495 -23.583452 -17.562906 ... -21.087669 -19.844765 -21.256437]
 [-24.04071  -21.253395 -21.253395 ... -19.559956 -19.559956 -18.50588 ]
 [-22.14959  -25.034519 -21.084784 ... -22.942802 -18.757664 -18.886396]]","[[-24.038551 -23.361437 -24.773109 ... -30.796644 -25.57844  -25.035446]
 [-25.860212 -28.168129 -28.168129 ... -23.810003 -23.810003 -22.536671]
 [-27.798412 -24.521328 -23.581448 ... -23.364475 -23.584433 -26.462616]
 ...
 [-26.156734 -23.149069 -31.882973 ... -25.580503 -23.812119 -27.803616]
 [-24.523384 -24.775219 -24.775219 ... -26.46463  -26.46463  -25.580606]
 [-26.77747  -23.583506 -25.577614 ... -27.108324 -31.886015 -29.387293]]",39.9638
bb738e81,"[[-19.314575 -18.934044 -20.272913 ... -15.744878 -16.65041  -18.329947]
 [-18.219799 -18.33478  -22.211113 ... -17.989412 -21.023983 -21.511105]
 [-17.559795 -16.560247 -17.994045 ... -24.705256 -22.38928  -19.707571]
 ...
 [-16.655983 -18.10693  -21.351158 ... -12.971746 -15.659971 -19.845097]
 [-17.248432 -19.315247 -22.394718 ... -12.909481 -16.007454 -19.984076]
 [-18.452242 -19.578476 -19.578476 ... -16.747192 -19.573709 -19.845097]]","[[-21.188198 -23.580326 -25.206358 ... -24.705256 -26.888077 -29.810572]
 [-23.166702 -23.371019 -24.471903 ... -24.46727  -24.705189 -24.705122]
 [-24.472036 -25.206425 -25.206358 ... -25.201725 -23.790037 -21.679768]
 ...
 [-22.581654 -21.02949  -22.58152  ... -27.204765 -22.962923 -23.366924]
 [-23.371826 -20.872984 -22.211853 ... -33.553177 -26.289551 -24.467873]
 [-24.955517 -21.685341 -21.685341 ... -25.729044 -24.010681 -23.790707]]",35.7829
3cbf9912,"[[-25.380804 -24.326723 -23.612457 ... -22.541838 -21.769295 -23.170097]
 [-25.665611 -21.952927 -22.339075 ... -23.389959 -24.329937 -25.963383]
 [-25.960079 -22.143833 -19.084528 ... -24.581673 -25.108297 -22.955666]
 ...
 [-19.791632 -22.539349 -22.539394 ... -22.342833 -21.956776 -25.108976]
 [-25.381439 -20.7232   -21.583937 ... -20.248125 -21.060526 -25.108976]
 [-27.24987  -24.327356 -21.766806 ... -20.726368 -21.769974 -24.841698]]","[[-28.763653 -30.102634 -27.249329 ... -30.602228 -30.105801 -30.105846]
 [-30.102589 -33.624458 -32.285568 ... -29.190653 -30.105846 -32.28878 ]
 [-31.686213 -31.125683 -32.92926  ... -28.766865 -27.97674  -28.362888]
 ...
 [-25.381439 -29.188118 -29.188164 ... -29.636814 -27.977373 -27.60775 ]
 [-26.909203 -25.960758 -26.581488 ... -26.91242  -27.607706 -27.60775 ]
 [-30.599693 -26.265556 -25.960804 ... -29.191286 -27.977373 -27.253178]]",42.5682
95ed1e8c,"[[-23.945009 -23.316914 -25.883354 ... -20.872972 -21.839138 -20.873116]
 [-25.616005 -25.883354 -25.883354 ... -22.548582 -21.839138 -23.321245]
 [-25.616005 -22.361528 -31.377449 ... -22.735384 -24.169321 -23.321316]
 ...
 [-26.162006 -23.733562 -25.107952 ... -29.549047 -25.112144 -25.112217]
 [-27.04608  -24.863262 -25.359806 ... -23.952305 -24.397905 -25.112288]
 [-26.162079 -22.925133 -23.320017 ... -25.363998 -24.629543 -25.112288]]","[[-26.738251 -25.616005 -23.945156 ... -23.734791 -24.394871 -27.363338]
 [-28.382057 -26.738396 -23.945156 ... -28.755985 -24.394871 -25.620335]
 [-28.382057 -31.903955 -27.68696  ... -28.386316 -27.363338 -28.386461]
 ...
 [-22.364416 -22.185318 -22.009911 ... -25.623154 -25.112144 -25.112217]
 [-25.359661 -22.734156 -24.863335 ... -24.867456 -25.890577 -28.034849]
 [-26.162079 -29.968786 -28.030584 ... -29.549191 -24.397905 -25.890652]]",34.4721
f828f3c5,"[[-18.249506 -17.535151 -15.970551 ... -20.500505 -18.626841 -15.967464]
 [-16.361082 -19.882862 -15.064951 ... -19.87982  -20.828268 -16.258638]
 [-16.66588  -16.66588  -15.151379 ... -19.585354 -20.184574 -16.872015]
 ...
 [-13.424792 -15.506521 -18.249941 ... -18.49868  -21.169415 -17.764135]
 [-15.597517 -16.563566 -18.249941 ... -19.880341 -19.880297 -22.27976 ]
 [-21.000586 -20.034449 -20.188141 ... -17.196358 -18.371876 -18.890547]]","[[-25.048466 -27.916866 -26.20822  ... -25.04538  -24.266975 -24.518715]
 [-24.781187 -26.208263 -24.521801 ... -26.848911 -27.91378  -26.848827]
 [-26.524191 -26.524191 -24.781101 ... -29.127779 -30.539358 -28.299839]
 ...
 [-28.303535 -28.70756  -28.30345  ... -30.539879 -28.30036  -29.573698]
 [-30.046539 -32.229385 -29.131302 ... -26.20574  -29.128258 -28.70443 ]
 [-28.707602 -32.229385 -28.30345  ... -25.321667 -27.190056 -27.190014]]",43.241
