PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,label
-51.54992,-0.6824455,-12.323341,-25.122013,6.856762,-25.265,8.603305,10.894038,-6.218804,-6.8629446,-6.3943686,-20.57692,-31.151041,-1.075784,-5.596476,-7.0362716,-3.1301768,16.951004,12.3422985,13.709359,5.85419,-0.5540619,-17.182117,4.1787815,17.1697,-6.2635417,-15.642546,-15.3152,-20.730213,-5.08715,-8.517682,27.923027,-19.053322,-1.9924588,-10.859576,12.135072,-6.3820257,1.0965583,27.640387,4.1297107,3.7970603,11.469158,3.1608312,-1.3567593,-21.692997,3.8471284,-1.4234273,-0.8770876,-12.518065,-4.399882,0.0
14.781461,-59.16111,-119.96867,-54.457027,-12.112052,12.805884,-45.54522,47.18835,27.216118,46.854424,-3.777312,-5.679085,-12.055781,-18.202953,28.365868,5.5117745,-16.73856,-9.456498,-9.019779,21.521473,-3.3967767,-8.800403,-2.2359986,-1.4105481,-5.852061,8.759493,8.423266,7.388143,-26.724142,-0.6072946,-14.72378,18.865294,2.1334267,-10.251127,-10.729657,-4.888129,16.558207,-6.8763413,-9.684426,-4.7448134,21.691814,8.430806,16.829529,11.511454,-17.286957,-3.6401558,-21.480965,-19.109404,-3.118488,-12.193927,0.0
-116.56058,-34.36299,92.12335,37.13929,-1.2304845,24.445322,35.34756,6.136476,-3.218248,24.07317,22.428526,39.146053,-9.413828,-23.105148,5.008419,-0.41913646,2.0978265,-20.781645,-5.986138,-16.854734,-8.207337,-19.82708,5.5542345,14.6567135,-11.826635,-1.9807322,2.568661,-8.484118,46.98257,-12.702226,11.930141,-3.3802335,-10.987898,-14.489494,1.4277161,13.403722,8.509678,0.831187,-2.9662335,-3.8764477,-0.54729503,-4.218436,5.900449,0.9106111,-17.843414,0.7703297,0.41167724,-12.462811,10.34755,-14.050697,1.0
-74.57757,17.98246,55.891605,14.399452,13.162194,-17.986063,-11.551847,2.279396,10.999169,-8.0140915,10.221128,36.34243,-10.97615,4.1868353,-14.952989,14.048798,1.8411424,-14.038159,-2.5223835,-7.7517676,3.1999545,-13.770045,3.0626075,-2.1544032,4.1470866,-3.557852,19.397697,-4.0177436,-17.676342,-15.463597,-12.274624,6.280245,-22.144989,-0.058896642,-10.745086,20.426704,6.817257,-17.799816,-9.64003,-6.818437,20.784374,-15.347598,5.1231422,1.9659386,-21.102026,-0.6004449,-5.2695975,-1.725407,4.6677065,-3.8467023,0.0
-87.136696,-64.07084,-4.465934,-19.880453,16.216742,43.34176,25.915083,8.407396,-0.34581143,-26.368826,-23.387291,2.9539647,-4.3863873,-10.12232,21.35618,-6.8971295,6.6343746,-4.0557003,-12.231535,-23.082241,-11.7564,14.976035,19.810991,-10.147369,-2.7410326,2.2060683,-12.635296,-17.725897,-3.8115826,3.7967925,-17.981834,-15.734003,4.837128,-10.187883,-8.547735,8.248108,16.059546,-4.388056,20.896463,-19.764523,5.472215,5.4966893,25.465923,29.018267,6.671771,-0.7495957,-16.775085,-11.505299,-3.6804724,1.6875905,0.0
9.62409,129.35822,75.950455,46.29739,-12.42247,-39.342133,-1.5498757,21.589886,0.49333847,-17.159576,4.9235735,1.3629853,52.521244,-9.645189,-1.6755325,21.628895,-14.440873,3.083059,17.584328,1.0176017,24.32172,8.233207,-28.227028,1.9227191,7.9562874,-2.5779378,-0.6095971,-18.281033,12.267095,-1.5764222,3.492029,7.078645,10.793985,-13.583444,12.879179,17.082308,-1.63084,-12.393795,9.247104,-11.443202,15.411936,17.62043,8.294336,-13.800301,10.998898,6.577433,-2.1966217,5.269007,-9.702842,11.489029,1.0
31.575356,37.116314,-7.4913917,23.746902,39.119884,23.51341,19.01205,-66.203476,22.259449,6.82293,35.704132,-34.27397,-13.544177,-3.0876029,-32.599194,9.781549,5.8036885,18.822756,26.50584,6.82801,-1.8748231,16.827074,-12.068703,4.6039486,22.883726,-17.752977,-2.3821385,-22.765926,-0.7922371,-6.759021,-4.8945146,-20.621407,5.234792,1.5387301,0.45996988,-18.52633,-5.797168,-19.927801,12.93864,-6.3219256,-2.892502,-9.365586,-10.315244,25.418507,-6.9992056,11.18555,-2.7286818,-22.576706,21.918385,2.8444421,1.0
-75.73582,44.927475,63.847206,-7.6815815,-13.596794,-53.09435,-3.5197482,4.886845,5.583753,8.9159,5.8895535,9.043504,-4.4472585,-5.964096,0.98424226,-30.016207,11.793127,30.843248,7.4574475,5.3612733,4.3146815,17.839249,-9.884465,4.5822625,3.1439145,4.7608557,-19.40995,-25.29288,-3.8127408,-15.990793,-28.55086,20.552513,-20.014212,-0.510923,-12.844788,-14.010522,-3.413014,10.344949,-5.355287,6.219513,-15.538814,0.69853646,-7.6980753,-16.276474,-3.6275058,-14.312118,2.8300047,-10.766897,-17.065979,11.200417,0.0
177.3055,-105.53766,184.0506,-41.743725,-65.22893,30.932766,-54.485996,-17.55675,-17.170267,26.878668,1.1198443,-35.10204,-49.85521,26.901834,-18.19454,-24.343151,-0.87877005,-52.863026,-14.526723,-53.0508,24.065237,43.19984,-62.97863,-3.901275,56.450817,-14.798827,7.0631504,2.3523302,43.35003,-22.661335,-39.967075,23.581202,-18.680828,-4.1344037,1.1240177,-34.12339,-33.57345,-25.685389,19.128584,-39.385117,1.6866863,58.712303,12.527995,-9.476773,-14.695841,4.686192,-15.853955,14.853166,-15.045132,-23.748945,0.0
-116.730995,-50.08044,58.24079,20.071833,5.018264,35.17636,31.991922,12.470368,-0.6144344,5.150376,-13.560999,19.684694,7.4533153,-19.95855,13.649688,-14.521337,11.007578,-7.052225,-5.123064,-1.8825809,-0.75114995,8.640607,12.419464,-3.796263,-9.426298,18.24583,-1.6480662,-25.938656,-7.5080643,-18.434498,21.439333,-11.990264,-8.555704,11.520499,3.4570668,14.619303,4.5808754,-2.2489982,-10.651288,-13.939214,8.485573,5.3481054,-23.790716,-10.991534,-9.134686,-11.823184,2.9067216,0.8406068,-10.313819,-21.78271,0.0
38.808468,-82.55552,8.166811,119.99026,-12.480178,-47.777714,-38.450813,-30.901487,-50.11916,-10.765587,-13.464262,54.97298,3.8702228,5.0583134,-17.25397,60.118553,-41.514153,0.51046675,-23.69063,4.009912,19.542912,16.419659,19.794788,-4.003394,14.176553,15.703451,-13.243774,17.619837,-10.631184,-27.009657,0.44827694,-11.538888,3.235895,-13.523057,2.2460275,19.888811,-1.4862839,12.823967,-36.93445,8.79179,-4.243131,5.7498484,17.26527,15.267176,-31.542032,-15.319034,-13.901529,-34.29064,2.2996755,9.3335,1.0
0.38794294,-42.939045,-24.053991,-44.00309,58.465645,-32.71781,-0.11590743,-13.781838,-15.7238245,39.28288,22.689987,53.15304,-52.407078,17.648876,1.9159049,22.54374,-21.208767,-33.59468,29.840082,16.689318,48.479317,36.211514,-14.794837,-11.070169,-9.519514,-16.238354,2.8274171,-20.469976,-3.9367182,8.447971,21.25214,20.534302,-5.9433517,3.6000118,16.864494,19.623219,-18.346468,-8.479497,19.727764,2.7971792,-10.501713,-6.006576,-12.124623,-26.873484,19.379343,-13.638176,-4.7908173,-8.538581,-0.04031086,13.787441,0.0
