PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,label
-51.549854,-0.68250936,-12.323368,-25.12201,6.8566694,-25.265131,8.603278,10.895171,-6.222884,-6.8567066,-6.414659,-20.62128,-31.208263,-1.1593648,-5.479298,-7.215293,-3.4649227,15.895523,12.0635805,14.327051,5.986727,-3.1902564,-17.588802,3.1136618,-19.399582,19.38662,-7.7339272,-20.17744,-15.398214,-8.0522995,-6.030506,6.931521,24.64046,-2.397162,-21.075449,-10.371038,-0.66919214,-0.9734125,-14.563338,-23.986559,8.928228,14.640924,24.099934,1.748353,-22.444096,1.9927322,-18.910204,4.6932964,-5.928254,8.822746,0.0
14.781532,-59.161324,-119.96875,-54.457024,-12.112008,12.805763,-45.54483,47.18772,27.217316,46.862522,-3.7725601,-5.6510587,-12.114157,-18.180891,28.32908,5.1242647,-16.656628,-8.405491,-7.927888,21.020216,-3.3207273,-7.7900944,1.3984559,-5.2643857,9.217513,-9.2299795,9.85263,-26.54966,5.1261506,-4.5620923,-8.882176,19.996742,1.9760454,9.115185,-0.34072453,4.2912855,5.9392376,6.44813,17.429684,-12.850764,36.31755,-10.470544,-1.3142264,2.0261102,9.45357,1.0210117,9.757684,1.9468275,-23.578283,-6.995274,0.0
-116.56051,-34.363117,92.123146,37.139305,-1.2303374,24.445559,35.347282,6.1368246,-3.2208574,24.067059,22.416477,39.129345,-9.477723,-22.969847,5.127157,-0.7254624,2.0524046,-19.941822,-5.7391043,-17.410769,-8.151969,-19.521185,6.3425555,16.92711,13.855405,-2.0052202,4.2056036,43.342403,-6.12834,-10.05035,12.5875025,-12.749279,1.9918197,16.541174,3.2501068,-7.0666537,0.5638194,7.8169007,16.34303,-2.0451436,-0.015113813,-7.070537,1.533512,8.817539,13.696207,12.812675,-9.305181,23.403477,1.9055226,-9.686385,1.0
-74.57761,17.982363,55.891644,14.399373,13.1621,-17.986292,-11.551807,2.280233,11.003759,-8.026159,10.214309,36.344063,-10.918197,4.1972427,-14.955188,13.989632,1.6180964,-13.649262,-3.3074646,-7.510959,2.7584445,-13.38154,3.4368992,-1.5715821,-3.7000508,-14.1311455,-6.692777,-12.988576,-8.946092,-22.16246,-4.005033,-5.1885242,18.966301,-2.2902324,-15.69047,-10.551112,19.373072,16.879578,6.770773,1.3379372,21.270681,-17.028217,22.331844,-8.147025,-7.685117,28.778473,-17.126091,-12.178728,3.0162446,-9.272461,0.0
-87.13654,-64.070915,-4.465946,-19.880405,16.216982,43.342087,25.914734,8.406968,-0.34482515,-26.37098,-23.385292,3.0333304,-4.3775015,-10.352725,21.195957,-6.887848,6.696319,-4.0081563,-12.112521,-23.297194,-11.956812,15.782887,22.786386,-10.887326,5.2368336,19.785385,-4.3020797,-3.2775366,-23.196356,7.3144374,-8.650336,1.0931339,-11.831389,11.381194,-9.57524,5.1691227,20.952908,-17.14488,18.13027,-23.17756,0.3280093,-6.0680957,0.1678451,24.636759,16.012745,-11.96332,-17.441793,-20.876574,2.8645668,21.031038,0.0
9.623945,129.35822,75.95042,46.297363,-12.422556,-39.342365,-1.5499864,21.591639,0.49718866,-17.16081,4.9654164,1.3757162,52.56097,-9.617518,-1.4918816,21.850588,-14.391971,3.5255609,16.781948,1.5310078,24.774454,6.99708,-29.290983,0.09437301,-6.0300617,1.4712225,3.3605714,10.972201,-16.419453,-5.3498044,9.885598,11.103915,-9.309038,9.257489,15.280922,-5.768392,17.92705,2.0882528,4.711482,-18.693575,1.9910461,6.2629566,5.986021,26.134308,-24.784716,-4.238668,21.709867,-2.347507,-12.876663,-4.130843,1.0
31.575274,37.116383,-7.4913816,23.746815,39.1198,23.513496,19.011911,-66.203354,22.251774,6.8228903,35.701366,-34.33685,-13.566693,-3.2186968,-32.46085,9.789848,6.0843134,17.526484,26.922543,8.644931,2.8287082,15.866837,-11.932737,5.9944997,-20.06394,6.928593,-20.87652,0.39469138,-26.222765,-2.4642344,4.5200586,-18.936438,-15.816964,3.5419807,-5.1260304,-8.306078,-8.205206,-21.145456,-13.477822,-5.0910563,27.348475,-3.885214,-5.40938,-13.437483,14.3846245,-7.870381,4.2567086,-27.298334,9.884463,6.9243884,1.0
-75.73573,44.927475,63.84723,-7.681589,-13.597091,-53.09449,-3.5192978,4.888437,5.5831084,8.92403,5.9083233,9.042496,-4.4170556,-5.7229385,0.8719263,-30.100279,11.872676,31.033966,6.5911202,4.44781,4.307963,16.639898,-12.726448,7.390187,-3.4433672,22.725563,5.3407183,-5.319645,-26.245174,-21.917173,-18.827007,9.367028,17.205172,2.5019429,-4.9316998,-3.750933,-19.905037,-2.8906357,-3.2233882,6.9628496,9.1891575,5.5773687,14.129186,-11.192038,-19.427025,21.450546,9.088444,31.001734,-37.258766,19.977648,0.0
177.30571,-105.537636,184.05061,-41.743473,-65.228714,30.93246,-54.485798,-17.556004,-17.171343,26.879608,1.1059198,-35.162773,-49.9374,26.913847,-18.209723,-24.85937,-1.2985392,-55.785484,-15.159302,-52.788635,25.871927,43.953224,-68.36395,0.08842874,-53.271305,-12.98279,-7.8759723,38.23607,-12.239755,-23.211454,-25.506844,-4.7358136,32.595566,-17.62324,11.357321,30.089293,44.872173,-14.808645,-52.92627,-21.968277,21.721197,-0.66185325,8.209716,7.051044,3.2037404,-20.200703,9.315053,10.60826,40.746735,-22.027878,0.0
-116.73088,-50.080597,58.240795,20.071894,5.018474,35.17678,31.99134,12.469709,-0.6099884,5.1552577,-13.579627,19.721355,7.4639664,-20.167635,13.652933,-14.314305,11.018579,-7.2477126,-4.9197073,-1.5733206,-1.4789667,7.679663,12.644815,-7.7929325,9.022394,7.795694,17.113367,0.29872495,-20.937553,-11.068676,25.177805,-19.407259,2.5829327,-17.644127,-0.88910764,-5.624864,1.278446,10.482403,1.7984477,-9.470557,-0.5425375,-6.69161,1.8727955,-15.129695,-3.045762,6.914427,4.9168487,2.0138822,-9.171714,-5.846317,0.0
