PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,label
-51.55003,-0.6824988,-12.323258,-25.122044,6.856688,-25.265173,8.603382,10.896149,-6.2200503,-6.8667607,-6.360632,-20.606382,-31.120054,-1.1272925,-5.867554,-7.0860405,-3.3599117,15.693278,11.219843,14.124461,6.5582223,-3.3925385,-17.961195,6.675233,-18.353113,19.283676,0.61820745,-12.906469,-15.809013,-10.243617,20.91141,-11.361264,18.765547,20.783386,-8.105376,10.291555,-6.7126164,1.3254672,3.1378818,-0.75816244,-30.742357,-13.184125,-19.300655,-23.95687,2.6660724,1.1233069,19.626623,11.152607,-18.312393,-17.480934,0.0
14.78141,-59.161217,-119.968796,-54.457226,-12.112177,12.805448,-45.545334,47.190323,27.216448,46.861847,-3.8008585,-5.660708,-12.184912,-18.275028,28.476185,5.2705398,-17.054085,-8.163755,-8.481331,21.84076,-3.44983,-7.341227,-0.14871883,-3.5159218,7.8576183,-16.924503,2.3258486,7.7584214,-23.363747,-9.462456,18.52467,6.547195,15.48577,-1.8699096,-2.4967504,-11.046184,4.555555,-8.42262,-24.95386,18.259329,-3.8552206,-49.000954,-5.9138055,13.400644,-17.271364,-14.79043,14.770285,-4.055943,1.0430627,-1.7074882,0.0
-116.5604,-34.363018,92.12322,37.13944,-1.2303569,24.445824,35.34714,6.1369996,-3.220408,24.063488,22.40428,39.14686,-9.352201,-22.952137,5.325306,-0.2343379,2.286691,-19.424475,-5.2496448,-17.25265,-8.597465,-18.403421,3.1744082,14.211306,12.549616,-5.0121017,0.8700296,-10.1263,45.176067,-8.829154,-9.385644,-4.115138,14.938716,-6.0312815,0.1870969,3.3727834,5.428056,4.376517,-10.807833,-5.1941586,4.1690297,-11.143966,-6.3983545,3.1659052,8.930716,-13.402483,-9.11565,-3.1768453,-7.6452684,10.470149,1.0
-74.577545,17.98239,55.891636,14.399242,13.162173,-17.98635,-11.55158,2.2797444,11.003247,-8.013743,10.216515,36.38352,-10.795887,4.2401648,-15.004257,13.834916,1.5275289,-13.598451,-3.7412612,-8.281927,2.5503206,-15.021153,3.896353,-0.82815003,-0.45376343,-11.415192,-8.043939,-6.5796447,-11.683927,-21.708601,8.959008,-18.237024,1.2358128,12.350025,-10.8240795,15.332512,-3.5184765,-17.717821,-17.81461,1.0853171,-22.181583,-21.577997,15.028913,-14.528096,10.641193,-5.3162856,19.23186,-1.3828241,-0.80838734,11.371103,0.0
-87.136665,-64.07082,-4.4659133,-19.880396,16.216843,43.342285,25.91442,8.4070835,-0.3475233,-26.37047,-23.411583,3.0057569,-4.5055995,-10.407308,21.294222,-7.0020857,6.400077,-3.6594143,-11.979614,-24.476213,-11.616512,15.8678255,23.398962,-7.1791,-0.9979036,12.778884,3.8216527,-20.992868,-3.5813923,0.85018474,0.3066166,12.582185,-9.909505,-14.005569,-13.796082,-5.971505,12.504481,8.527997,-23.651869,4.150127,-13.036942,2.3896928,12.798834,27.852898,8.84426,-6.921909,21.747993,21.477137,0.70173645,12.464743,0.0
9.624142,129.35825,75.950516,46.29747,-12.422487,-39.342175,-1.5495226,21.590271,0.4944984,-17.16018,4.961027,1.413037,52.556107,-9.564234,-1.5625551,21.626152,-14.680508,3.5694456,17.487228,0.39198852,24.045567,7.1876044,-29.236979,-3.4278522,-6.8433943,3.94834,2.9650908,-18.79652,4.070972,-0.071169816,-4.6170487,12.871688,14.586395,-1.6269735,14.934251,12.540277,7.228243,14.820798,-10.444256,-1.2469745,-8.758998,-12.773345,3.4250822,-3.6336827,1.428318,30.408857,-5.583727,-7.3798785,-2.852454,2.3135655,1.0
31.575327,37.11635,-7.4913993,23.746834,39.119987,23.513845,19.012321,-66.20396,22.251919,6.836266,35.680237,-34.265392,-13.695901,-3.1975126,-32.52002,9.94923,5.719167,17.930706,25.800873,7.064512,2.3654404,15.6629,-13.97214,4.9685855,-24.647654,10.062358,-13.897399,-24.750929,5.9935784,-15.94652,-12.556916,3.025323,-1.4108621,-3.216242,-3.035094,-2.7033951,-1.6942236,-43.641827,-4.398327,0.45392212,2.2716851,-8.693001,7.1720343,15.534537,3.0830448,-4.813498,-10.26641,-17.825298,12.246146,2.4914997,1.0
-75.735695,44.92749,63.8473,-7.681528,-13.596965,-53.094524,-3.519201,4.8878765,5.5825467,8.9399,5.939751,9.065212,-4.418608,-5.7839127,0.9572795,-30.098303,11.647727,31.22849,6.281164,5.267763,5.326906,16.00623,-13.530391,3.2686455,-1.5159686,19.330547,14.320676,-22.133348,-3.3938665,-25.214941,28.694347,-11.243166,5.165671,4.0925064,-6.7945957,-19.793224,-0.12795219,-7.579711,13.132069,-1.4048487,3.7539701,-8.609295,0.9571791,-38.233124,-4.3218784,-21.367859,21.67693,-16.757433,-7.429341,-6.513009,0.0
177.30537,-105.53792,184.05103,-41.743393,-65.229,30.932188,-54.485565,-17.557627,-17.173405,26.869064,1.139183,-35.164238,-49.84666,26.77448,-18.364754,-24.68022,-1.0139803,-54.913334,-14.875866,-52.876957,26.425966,43.67092,-65.8542,-6.8324614,-50.901855,-6.541347,-9.766659,-3.307569,46.52712,-27.625908,45.051533,-16.422367,-3.9695582,4.508999,20.609272,-28.729694,35.961372,-30.221518,-4.8373423,-20.205338,-36.35376,-4.271341,7.602954,16.655272,-13.369136,11.992752,11.2936535,18.959581,-38.234634,-27.626415,0.0
-116.73088,-50.080513,58.240845,20.071959,5.0184407,35.17684,31.991543,12.4709,-0.6114753,5.162202,-13.590822,19.664986,7.383444,-20.106308,13.583792,-14.51226,10.682347,-7.252954,-5.676318,-1.250547,-1.0157889,6.426294,13.587861,-4.09263,10.105249,-1.2944385,21.192455,-25.872938,-1.9006891,-6.082757,-26.528511,-13.82759,-0.6998981,11.784238,-1.2394315,8.5366335,-5.840834,-2.0713913,-16.834948,2.6928093,-3.044838,-7.298168,5.4896145,-3.7940664,-16.465204,15.239825,10.2351675,4.7325816,-2.2377465,27.393835,0.0
38.80849,-82.55541,8.166514,119.99014,-12.480175,-47.778347,-38.45024,-30.900654,-50.1136,-10.750001,-13.428397,55.050446,3.9608448,5.089978,-17.280046,59.779922,-42.33815,0.88760537,-23.694593,3.924615,19.742357,13.695416,22.126015,3.5031037,-14.548362,-0.21397953,18.565426,18.581623,4.1758986,-24.13436,-18.567566,-3.1246073,-12.84536,-6.652794,3.489959,22.81799,2.6419823,10.409792,-4.171343,11.981167,14.136352,-11.0295,-13.938801,16.29518,-21.169441,-18.036196,21.75813,-2.1008675,-27.162964,-1.8667272,1.0
0.38791123,-42.939026,-24.053999,-44.0033,58.4655,-32.717777,-0.115250275,-13.779661,-15.717405,39.293686,22.656454,53.1652,-52.498833,17.43954,1.8739611,22.277735,-21.306704,-32.267567,29.334038,16.208693,50.58923,35.521984,-14.034013,-19.180983,12.954745,4.3032966,-20.903372,-22.94565,-6.7724085,10.238908,3.237483,-15.097329,29.240902,11.945383,5.5880623,4.4587817,22.618853,5.195851,1.543979,-5.949472,-0.8621909,33.069485,25.661898,-15.977038,0.6324117,16.919455,-10.779148,-0.86160934,-14.147478,20.66537,0.0
82.01544,50.05372,-64.791374,5.4227724,16.785034,38.95604,65.59245,25.52671,-18.376755,-30.091742,-13.80136,-17.799068,25.672817,-12.216422,19.35468,22.95073,-4.1761374,-27.989824,-1.269199,3.6851473,-9.393489,-6.679232,20.04163,-20.253796,-15.81693,-13.406805,6.81999,-28.778368,-14.965881,-7.075312,13.562367,-18.608685,5.7586346,-31.908367,27.031912,9.86291,-24.597075,0.7774807,32.868984,-9.9555435,9.912367,7.3226995,-10.377852,-1.8138486,7.202147,23.341301,2.2872372,-15.269505,18.3978,-30.974173,1.0
-99.60908,-47.876705,64.016685,34.959003,16.637287,62.040585,27.598202,-6.3427606,16.54243,15.112984,20.381704,23.207735,-9.224404,-12.846339,-19.960135,7.6469684,10.509895,5.408976,-1.1940625,-14.532769,6.041177,5.297431,6.8783507,15.498634,21.939692,-0.50051904,25.470676,-11.925279,3.6897566,-39.043617,-3.252117,4.402249,4.2358217,-4.9203143,14.163783,-5.819596,5.2806463,-14.473753,-8.40259,13.657541,6.8251896,29.977306,1.5436083,-8.640042,-8.554467,-16.472239,4.5369186,-9.232556,-10.470992,-17.64435,1.0
31.548904,-106.27592,-72.64554,-1.705927,-22.043102,-37.43021,-34.58994,-22.424866,-25.73037,10.506205,34.43118,36.898727,26.350853,8.90423,41.306576,-15.079491,-27.549355,19.927782,-0.9467735,-27.357683,-14.52324,-5.9446197,3.3399532,-9.761174,11.812065,41.11057,-15.310245,-11.375952,-20.612085,14.611485,4.0948377,-23.674358,3.6131127,2.6230862,13.80444,-30.629402,-24.745846,14.624668,9.912365,5.545226,21.960829,-1.2154942,-42.151516,-7.335153,-14.388083,-21.633131,3.139167,1.3503964,-6.1252804,21.362892,0.0
-81.60362,2.3752542,48.424946,-6.836546,-12.152044,-19.539202,21.485859,-35.153606,17.93078,-7.4772983,18.703856,25.662624,10.8820095,5.923832,-3.9178798,-5.049877,36.715664,1.0056815,-2.967887,-6.9364524,9.701648,-0.7846583,-12.009509,-0.40838492,7.1137614,1.278559,-14.253088,13.936223,10.261137,-1.9370698,-9.62739,6.9723372,-23.636642,15.954084,-11.681757,0.6828698,-31.168585,15.517958,-2.2553666,5.4666657,5.7261868,-4.438488,4.53664,-7.2214823,-11.857796,22.953733,-15.653332,-6.46305,3.9520006,2.7794156,0.0
-83.02134,-28.960335,54.376747,7.613105,-36.24509,2.079182,38.25259,13.10665,-11.803429,62.73846,2.9712405,32.525944,-24.760338,-30.645235,14.535528,-35.88812,-10.388398,-35.470215,5.600906,17.658306,-25.332188,-18.527496,-15.38901,29.06278,4.4605436,-4.1498613,0.36534402,-17.534454,-1.2522099,2.1121676,-19.528587,-24.842619,12.158857,5.0921974,-1.9911189,-0.597201,5.6129327,7.790066,0.059128646,-9.985033,1.9953787,7.8381906,-15.0105715,-15.863934,-4.8395233,-2.2043457,-3.3291194,6.836332,3.2744572,6.451118,0.0
-90.665535,-30.104408,21.950603,-22.75704,-8.011417,20.462744,21.796602,21.74004,0.15830341,40.638977,-14.625268,-6.2132244,6.1312613,15.20754,6.7820024,-34.824116,4.299529,18.581055,-3.7895894,-12.982055,-3.812983,-3.5765123,3.9815753,-24.98311,5.5321407,29.096647,14.050385,-0.4747529,6.1215796,13.113836,3.4036639,-3.4013147,9.542003,-9.611507,2.7534494,12.43988,-3.241215,21.853905,-7.444099,-5.269841,-0.3313848,-3.5413177,-0.65921265,-6.4044642,1.9487193,6.048494,-2.309967,-0.7453048,3.4097698,-8.1691065,0.0
-43.074833,-79.0099,-21.876898,6.9083576,43.054333,23.302395,-4.6998334,19.084185,-19.732168,-2.7408745,-19.737265,-1.1305755,13.418107,-4.3750663,40.84959,29.527468,15.827196,-10.65518,9.616881,9.392818,-28.933046,28.578108,-6.2799616,-18.23154,-12.686776,2.9841228,0.7066159,15.577372,1.9378585,37.35884,-13.763637,-15.676389,1.7908144,-18.458323,8.891536,-31.180058,28.249952,25.476572,-11.974308,0.5529477,21.67072,-1.5308592,-10.591327,18.308338,14.224767,-3.2253566,-7.0412717,-5.6390514,10.517836,10.088495,0.0
-55.82306,-29.27755,-6.741304,-35.62832,15.852584,-37.48785,-4.863497,-11.768863,-44.017895,13.411373,2.6119895,5.5134873,15.493537,5.097438,9.937221,2.859985,3.5789196,-2.652012,-3.7705884,-3.5820532,18.423037,-2.9344954,-0.5048175,-11.364262,-25.776443,6.8487916,-8.180273,25.877491,29.145342,4.1097183,-0.15088774,5.082177,-7.013012,-15.3147,-15.376911,-3.0096052,12.654222,-24.309177,7.4305706,-13.868765,5.6172943,-27.847473,9.351213,-2.9344146,-12.030275,15.627055,10.624097,-5.621242,-9.192384,-0.97511643,1.0
-48.661434,-6.8496165,13.491526,19.746899,0.983699,20.255827,-1.6534191,-5.136305,-1.5646559,-42.355488,22.486984,0.55361533,18.290958,-7.6990333,-4.0181603,-22.977182,8.475427,11.168739,1.8877823,-2.0524209,-6.277428,11.366482,-15.725997,-17.017117,3.948711,-3.4201264,-3.8264878,3.511573,24.169485,10.141186,-5.7326684,-4.14126,0.65050745,10.806443,-1.7680026,28.59294,2.0154443,-10.452033,-9.12722,-0.22018646,-1.8747497,6.953863,-2.1440306,10.275361,-6.9348135,-15.249981,-23.602795,7.519228,9.404718,-0.6573759,0.0
-53.139008,77.685425,66.53537,35.6182,-9.986584,-17.539978,-44.378693,1.0244892,20.247845,-12.479719,-4.30895,14.88835,-14.09249,-6.5396094,-11.721976,-21.571928,-5.9199696,-1.0350367,3.7534742,-11.8675,12.166198,-16.410198,31.33952,2.3851528,-0.9309073,-6.8081093,10.76173,2.4905946,12.11842,-12.635765,14.34571,6.8051434,-13.89919,-2.422936,-26.980366,-14.1624,-13.92631,-7.289148,-29.862892,-20.267344,0.7489525,6.1283946,-0.087176435,1.3787491,4.132378,2.655305,20.953573,9.242642,19.606783,-12.126481,1.0
5.899878,120.61789,10.641555,-5.407582,-5.832272,-13.143809,-18.431036,32.088146,-7.0918694,38.547623,-18.234999,-9.8711405,50.030025,1.286765,-9.414382,-22.92332,-6.8105454,-10.969667,4.716371,3.115443,-0.124633715,24.867239,23.008307,0.92564297,-18.962723,-12.260249,6.350297,-14.104423,6.2150626,31.377861,8.297838,9.392497,-2.4537823,11.96331,0.029187521,-16.506615,-6.608074,4.4329295,-16.898941,0.15401727,16.674582,-15.668289,-7.649374,15.032663,-13.88523,9.939813,-5.559264,-1.1294888,-22.775463,29.00998,0.0
