PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,label
5.3618426,-29.953665,4.108226,6.871463,6.2960076,10.007654,-7.091675,2.7129657,35.52223,14.236546,7.7551217,-11.529293,-17.521118,45.16203,-7.3800607,-38.17486,0.41286245,11.55848,-28.00595,-3.29278,9.509017,-13.206626,-12.518125,7.6108546,-8.090684,-9.925785,-0.96307963,-0.24069287,2.6405172,-44.907093,-4.5142307,23.852795,1.6035291,-27.602484,16.195202,-27.837948,9.255937,-9.499157,15.340874,18.338322,2.0584388,3.5456676,8.684319,16.317066,4.3007746,28.59923,3.275842,-19.892351,-20.489197,-21.220266,0.0
34.299526,-51.410576,1.1991265,-6.6825404,23.880447,4.5011873,-15.793645,-6.5081153,34.921703,-32.07034,-6.8133106,-27.347885,12.014355,38.493294,7.432334,9.511777,-7.4066925,2.3225875,-14.236012,2.867643,-10.275794,-22.896322,26.965029,-6.6559577,-0.026953172,22.47465,-23.67766,-24.8431,-17.030548,12.389783,0.57494265,3.3057384,10.4719925,-4.152363,11.440848,44.428867,-4.4912167,21.47811,30.310238,-1.8630904,10.221138,-9.863591,-9.302031,-9.063006,-2.667331,-19.429424,1.1794643,-0.5177344,15.68818,3.5263793,0.0
-2.9973142,-3.3027918,-26.402401,42.336308,62.752174,-19.845568,0.007110759,23.697844,-4.04678,11.315836,4.289869,-26.952106,32.77855,24.60944,-15.198179,-14.839598,-26.544626,-12.839527,22.796202,41.224102,-0.9771095,-2.8434236,-7.711393,23.105082,32.521023,-7.790614,-1.0106603,-18.825146,-15.475275,-17.022238,-41.328587,7.58364,-29.828894,-13.053185,9.0238285,-8.943522,4.0669203,19.75269,-20.29067,17.399162,4.326064,8.918179,25.13063,-1.4274395,4.7011056,4.665772,-13.36048,4.965172,-31.014334,4.340329,1.0
7.739032,-82.89401,-32.83499,37.775753,14.997816,-35.594944,2.3343828,-27.555603,12.329074,-3.4147048,29.154442,7.039941,5.135882,39.35918,-10.19482,4.530293,3.1355789,-34.829052,-25.474964,-0.5219428,-16.398598,-4.68758,1.7830238,1.9813817,-4.663218,-11.970948,36.12201,-24.560822,-1.160905,-3.9022443,-0.071841106,21.607298,30.19218,-7.54733,18.366602,-13.173208,-9.261333,-40.35155,7.5998325,-13.50052,-36.48181,-4.386312,18.731966,12.89159,8.557187,1.4941107,25.770838,3.9717004,-22.940119,1.2540557,0.0
-47.1566,80.37952,-25.200615,0.0552535,-3.9594808,-19.16056,34.188972,40.10646,-27.231743,0.15528554,0.042693738,-0.6912535,-12.712339,-10.26735,-34.166893,2.7093573,7.1871037,4.967199,-1.0538195,-12.497733,-34.789333,6.708464,-23.120077,38.101677,9.748931,-12.377473,-1.485155,-40.79663,-4.9159746,-32.85774,-14.153405,7.090586,18.221832,13.356196,3.2016075,3.5316126,12.135957,11.157875,5.996944,-8.992884,29.620632,-15.794444,8.597256,3.1553493,3.2536883,18.370855,-21.596733,-12.811703,1.5441247,12.86916,0.0
3.384758,24.18643,-23.958885,-27.342382,18.496283,-17.413157,0.595805,-25.487776,0.3633562,-19.335787,-34.583023,-32.433895,-3.6423502,-27.302483,5.7836833,-3.8663182,-5.6988983,22.710714,8.350649,-18.235441,4.346588,-11.415758,6.005866,1.594566,-8.1895485,-4.155095,-4.874418,11.62081,-43.697906,18.86365,9.172518,-12.722777,1.7046338,27.66435,-0.6405594,9.300535,15.836306,-15.792115,-3.232304,1.8374556,36.920547,20.898687,-7.629659,-23.161526,23.235043,8.694698,9.981024,-4.4725995,-34.692936,-7.2713985,1.0
1.2235043,21.800854,-14.822608,30.766237,-5.410737,-3.1814423,25.913979,39.29615,-24.520039,0.53934425,28.656929,16.322886,1.0758044,12.021718,-13.05524,38.214603,11.985972,30.464,9.643346,17.142412,9.549637,37.88158,-12.9538355,-8.636052,15.409438,32.30535,-30.230633,-27.49148,18.92821,0.38937426,-4.8904543,5.211389,-0.18521152,-2.5293474,29.15012,34.74097,32.680058,-1.5144238,18.16091,-19.79923,19.87558,-11.560216,-25.472374,-23.475386,21.129272,-7.1715484,15.342031,-2.1976101,0.9586193,33.360226,1.0
15.222308,17.165892,-5.2726145,-5.943419,-34.63804,4.387234,15.010532,16.72635,-9.453646,-16.662685,1.2119683,5.5843577,-4.7427635,-2.4847913,-14.583007,14.116439,-1.2527051,-14.489728,-16.407295,44.627422,13.591087,16.386267,14.675084,1.6022289,-13.534552,-11.786695,11.823895,-21.555136,-17.960007,33.656017,9.168876,-13.984419,-51.260384,-1.15939,5.4529843,39.22764,21.955175,-7.0136957,-7.915443,4.7681894,6.6081157,6.9028835,3.478847,27.632708,5.684576,25.390955,-20.078033,-1.2189963,17.753918,0.9162674,0.0
-29.609491,-43.511753,-17.174997,10.145284,16.788073,-3.0110419,-4.53795,-8.610108,21.194254,20.937614,-50.54444,8.1422825,-10.097271,39.799484,-7.469995,-16.317083,14.692542,-6.308428,-0.07215411,-11.64994,-1.8632909,12.449608,12.507255,-19.276348,-32.937897,2.8594759,-3.6801834,-12.7429085,-8.286687,-3.599359,12.358925,3.4504457,3.5830443,24.966173,19.282139,-10.102973,31.170027,-18.818102,0.9450476,-31.917433,9.710935,-2.595312,-13.614868,30.828001,-8.419259,-8.064255,-2.7322617,-20.2706,18.228456,-0.42161414,0.0
-27.309008,7.3119187,-18.300392,-23.156158,-23.074177,-14.847411,-21.44591,-2.1142507,-13.15136,-22.503012,1.8444332,-6.7371807,17.760313,-25.274822,-16.925007,-9.008624,6.891199,23.721855,-15.614964,19.226025,2.9137485,-26.66737,13.86309,-7.746292,7.2984033,27.830282,14.934797,21.585196,4.5539265,10.341801,-0.2872246,0.76483667,15.917287,-17.445019,30.887428,22.566221,31.366343,-5.442389,-8.618794,12.656213,9.66217,-2.264679,11.007033,-15.686066,-12.006805,-25.852802,5.3830757,-25.367365,-7.9921265,24.494135,0.0
11.494436,-71.906235,62.44834,-27.081297,15.122326,-6.099268,-6.8232117,-2.3591704,-37.652576,-10.022054,-12.294593,-24.215168,14.100082,29.716436,31.233316,-19.816343,16.262285,9.412866,2.9050744,12.147888,12.178468,16.015854,6.1229024,4.0633173,17.475546,21.953987,-10.316508,6.841306,25.178211,5.6222186,-10.230719,-6.8502655,-20.600931,11.480375,-7.153862,-9.227863,5.482894,-9.595193,-26.822414,35.64659,4.3140397,22.554274,18.28147,-7.222637,-1.7582088,-1.4197073,-3.952232,6.7146544,-5.108276,17.120289,1.0
-6.5915966,0.6747991,33.89017,38.802067,35.527893,-29.74612,-14.975572,23.789246,-9.034792,0.6067662,11.222314,-0.3247376,-15.774862,-23.193937,-19.598951,0.9802227,1.6969776,1.9558681,-5.66305,-12.63113,-15.523898,20.358313,9.039909,-5.629989,8.929973,-8.076689,14.761932,-3.7533398,8.499283,-11.922494,-0.77944666,-16.055256,14.245519,-30.030678,5.7958665,14.561482,-4.090738,8.016733,-13.038572,4.288298,15.342303,-19.859764,12.126333,21.19863,4.201245,13.776479,-16.784342,6.088561,20.188217,13.313988,0.0
-62.415268,15.3711815,41.70385,-50.932514,-17.669556,-8.8511715,-24.517084,12.467593,8.851242,13.719623,-18.295996,6.3197436,18.667692,12.58504,40.804794,-6.698323,-13.038382,4.8099904,3.1866395,20.737091,-8.5281,11.50447,12.206893,-6.9646535,16.423407,8.3033695,-9.993469,-21.61796,10.70967,-12.459305,-2.3024554,33.249672,8.936586,-5.00985,-13.253048,6.6911407,-4.2950044,8.222233,23.850798,13.389932,-2.473042,4.2742195,-13.995952,0.9871905,-3.4441922,-7.9591975,-14.148279,2.9324267,0.16560215,5.537711,1.0
28.859743,-3.865293,-47.71368,59.91769,-4.455766,-23.13731,17.513062,-43.544685,-12.983408,-18.896866,7.269202,-10.057797,11.744643,7.001792,10.602867,9.932813,30.030296,-12.797542,5.537847,-7.5501814,37.02202,14.78414,-29.376705,-5.379216,4.8191605,-37.035744,-19.38841,14.06271,41.40111,-31.022299,-7.9086227,-2.106542,-11.717004,-2.8930638,-15.434407,12.014676,12.657591,7.4362793,13.274303,2.353874,-25.724033,-13.6629505,1.8844452,3.336542,6.503891,-19.27349,-4.805504,20.93556,-1.9409842,6.498674,1.0
21.42803,36.66809,40.082966,-25.2442,36.51129,-1.7415045,-7.0519595,1.9083242,16.682808,-12.611464,11.948103,17.42215,-3.3932347,4.713388,33.676067,35.094654,6.3191395,-14.785762,-5.274103,0.8815056,-16.36866,8.966783,10.433441,15.853676,13.455508,9.07857,24.412477,21.145927,23.508732,-1.9810699,-3.5379717,-15.196011,-19.702164,20.251923,19.180977,-15.3406105,-13.298021,-6.9293694,35.546593,-4.460036,-1.9236772,-15.680048,-23.446264,6.9100614,-18.137463,12.901773,8.481749,1.9832885,-0.29116243,-0.0589664,0.0
29.312647,15.648685,-16.48567,11.764192,-20.093609,3.0691009,-24.521791,9.216325,32.320896,-17.296654,-1.8604691,-8.0432,-8.7739,-21.961622,35.43851,-5.262411,7.6258926,14.647207,9.283495,-12.242531,20.511124,17.220901,3.7066402,3.9972193,-6.6528854,-19.378855,-23.097456,28.191883,15.098849,19.03103,-38.925915,43.083187,15.498712,6.263689,6.900604,-15.876571,18.91908,26.515627,-20.607851,-22.723387,33.799694,-12.184473,0.89854085,8.689408,10.576399,15.959363,11.921362,-16.492493,3.9610293,-36.32483,0.0
-43.523716,11.699705,-18.33203,-6.459292,-14.288066,21.205847,-6.8272233,-4.775529,4.4678965,-24.38302,-26.809658,45.973164,-14.150858,-4.794729,-25.458897,2.2529132,-6.13431,-33.94126,-3.4791267,-17.254782,-16.08239,30.774492,-0.8674792,7.1603518,-7.114323,29.017954,-8.225088,26.043612,8.82392,-18.295969,-20.618546,8.668831,-9.903529,2.9250004,38.71131,22.329092,5.7944336,-40.284557,7.6999383,26.753063,2.669889,-28.626863,-2.1764057,-16.654638,5.8626347,-6.1495447,-30.658564,-3.1090229,43.266773,-2.849259,0.0
53.993664,26.409834,-45.310654,30.398693,-22.197716,29.390665,10.226001,0.1963182,9.885215,-35.04286,12.616992,18.156206,34.645367,20.314346,26.250742,-26.411781,22.858866,4.9178367,4.4990344,-2.6557677,-3.234093,19.300093,-36.71356,10.078734,3.4311717,23.45959,7.1954875,25.583246,-1.5355524,18.783241,-22.852123,15.128431,13.666851,29.61985,15.491844,11.280859,-23.995594,6.6798515,-13.364381,22.977884,-2.6637337,5.0746374,22.05279,-8.139401,1.3148783,12.852402,22.2649,-6.0021014,-3.3248894,7.0029187,0.0
