PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,label
-9.899636,4.0666695,-8.18385,13.463597,-1.6848336,4.5270357,1.1243155,-0.87275904,-1.6666263,0.41615313,0.23278627,-5.6795344,2.2303,0.17058103,7.3845024,0.5199207,-3.129597,-1.5879612,0.8726139,-4.827677,0.45692253,1.1527823,1.9268061,3.8508258,2.4123087,-2.1408706,-4.515049,3.558199,-0.3344,0.7926841,1.3254522,-0.6603037,0.62747556,2.1915572,1.9913809,-2.783892,0.048875872,-0.7171827,1.3908458,-0.82867503,-1.0339867,0.520011,-1.641814,-0.32341272,-1.2298102,-0.09553218,1.1400076,-0.36271244,-3.183639,-2.1741612,0
-8.3251705,-3.1288178,7.2719765,-5.1661725,0.067040645,1.3763013,0.5442655,8.462562,1.0432693,1.6520642,2.1907396,0.63109845,1.9989333,2.7059684,2.9778714,1.7377471,-0.11774705,5.9064136,-4.6703672,2.0540712,-0.88153917,1.9378558,-3.019467,-0.4752102,-1.1532782,-0.73471916,-0.9310984,0.8630156,4.604245,0.52013844,1.1728083,1.6249421,3.5106714,-0.23399153,0.26816073,-0.96910834,-0.23676746,-0.2734324,-0.15017486,1.5393178,0.85174465,-0.12827069,-0.031420413,-0.90897316,-0.038495272,-0.44537282,-1.0851178,-2.4826746,-0.90583,0.3355232,0
-23.715397,5.2890415,13.915563,4.3414993,4.2683687,2.477077,3.7067218,2.2628806,-8.08663,0.21760792,-0.04894615,-3.4258256,-4.4893684,-1.0322789,-0.39740983,-2.326273,3.383745,3.748622,1.2902715,-1.9417175,-0.62393504,2.6155481,-3.8742356,0.38353407,0.05924993,-3.0549273,1.6978407,-1.57687,1.0622482,1.7810711,0.22336316,2.151453,0.023636485,-1.3555398,-1.1012541,-1.6939709,1.0638115,2.810231,-2.5864294,-0.363246,-2.1910658,0.68759155,0.9593585,0.35918564,1.531757,-1.5921686,-1.3457297,0.6901399,-0.52895176,0.864433,1
-14.379209,8.535423,2.5171332,-0.0021740848,-8.457041,-1.9799099,-6.679014,2.530883,-4.8300486,-1.366916,-4.7986507,1.6786891,-2.4278672,0.012167369,-0.001021417,6.3341913,1.555281,0.8681499,-1.1969986,3.1131957,3.5131667,0.53458345,-2.5267444,1.7830825,1.1751312,-1.1041758,-1.3891381,0.011622418,-0.9600424,1.7101355,-0.99288744,0.93996966,-1.5721318,0.9680718,-0.8365664,-2.7423215,-0.06968007,0.11956325,0.86105925,0.39559755,-1.0501958,1.0480729,-0.54594475,-1.6274906,0.37938783,0.0042109764,-1.2286923,-1.3370897,-0.68326676,-0.783509,0
-1.079912,-20.154306,-3.888045,-10.069165,8.174995,9.765296,-1.9051545,3.8092182,-5.9045453,-5.7474966,-9.715981,1.7413417,-0.6340186,-3.330284,-0.7757906,1.9080405,-2.319576,-3.973227,-2.498822,1.2738991,1.688148,-1.8529199,-1.7240114,1.6149995,-4.893196,-1.8996857,0.7963138,0.19108525,3.9369838,-0.33812574,-1.7637928,-1.5226297,-0.5971245,-0.9230219,1.5920477,-1.4536165,1.2968922,1.8887737,0.73199946,1.304524,2.8167832,-0.5777405,0.84755766,1.4993206,0.2512323,-1.9897581,2.3085697,2.8047876,0.3981802,1.2442299,0
0.8424016,6.4913864,0.54333556,-2.9902158,-5.788766,-7.120737,2.0875747,6.4737306,-0.5011818,-0.28446695,6.318261,0.8485729,0.75993055,1.2455868,-2.3790908,-1.026347,-0.99236345,-2.949648,0.2860349,4.973257,-0.26494643,2.1406257,-1.6722696,-3.895287,-0.84845954,3.249972,0.8102232,0.950175,1.7110854,-1.3658357,1.2917645,-0.023648396,0.7666002,-0.5376744,-1.5187937,0.1516394,-1.9623927,0.43486974,-0.3186059,0.048086397,0.7054986,-0.086478524,1.5150136,0.8784026,0.020081932,0.22337446,-1.8671827,1.8211851,0.26555634,-0.43346608,1
-22.399567,2.8888433,-5.392863,-4.9600096,-5.0947533,9.305146,9.726073,-7.436462,3.3548405,0.6721184,0.31498003,1.3864046,-1.4004501,-2.6973944,1.5880661,-1.4049119,3.1436398,1.8326743,0.34871176,-2.0359132,1.506059,0.23035133,0.4374767,-1.5180129,-1.5350106,1.4625604,0.3661249,-0.3727439,-0.28809792,-0.32858962,-3.4504685,-0.37780774,0.018642591,-0.45061427,0.97363335,-2.1044307,1.9511478,-2.1946545,-0.052088633,-1.6780457,0.69785553,0.9142137,-0.19618593,0.9509204,0.056864228,-1.072976,0.9193967,-0.6240104,0.597405,1.5593504,1
5.981645,-6.4572453,-10.835364,-0.8941728,-3.6998098,13.67672,1.0406425,-2.1538649,2.2338686,6.95058,1.6610744,0.8282813,4.022912,0.13245189,-4.0207815,2.5797427,-1.2379291,-6.0011287,-0.70893353,0.9550509,-3.1356368,-3.3771946,-0.16600432,-1.6514993,-3.0172594,-4.4592347,2.0107758,-1.154456,-1.1555755,3.4845598,0.8013496,0.5940756,-4.924301,-2.7664242,0.5117699,-1.6507719,1.8910732,-0.44772393,0.62514645,-2.0990484,-0.7411934,1.6821978,-0.4578779,1.7120419,-0.6600894,-0.20384303,-1.9876959,-0.55205077,-1.6184193,-0.68828493,0
11.291112,5.240503,-8.813157,4.6471214,12.97366,-4.105364,-7.3136477,-6.6700783,0.11472001,-8.215984,-2.5592537,0.3772991,-2.2042902,-2.2436714,2.281104,-2.0266829,-2.1295013,2.0213723,-2.366185,-0.2591365,0.22964628,1.5456189,0.30778036,3.3022935,1.4890625,1.1480274,0.94639885,0.060719095,0.3761936,-0.33595642,-0.13937692,1.4315219,-2.9425724,-0.7844774,1.5611448,1.4420156,1.2591614,-0.032343186,0.15185863,-0.7496574,-0.43866,1.386378,-1.2392036,-1.8123971,-1.3703533,1.0985124,-0.29340836,-1.7315819,1.5516905,-0.7183962,0
-14.547102,-26.537405,-6.2044315,8.035988,-7.4404025,0.45552164,2.6933062,5.7838373,4.9486604,-2.4528058,-1.89823,3.111171,-1.111817,-3.3243399,-6.133887,1.4466925,0.99043536,0.5136449,0.8910844,1.374145,-2.0517015,0.11337696,-2.5312233,3.9745018,-5.341835,-0.20514995,1.9305811,-0.86832845,-0.02021707,-6.198933,-1.0130061,-2.0006583,-1.9076501,-2.563138,3.2540956,1.9970013,1.647496,1.0011958,0.6315225,3.59063,0.6700924,-1.4649476,1.4208654,0.70367247,0.016272549,2.6012514,2.4899185,1.609286,-0.48371792,-0.65844953,0
