PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,label
-62.99364,-6.4358234,-72.97425,-30.88814,38.09177,45.529728,19.459692,-16.601875,22.433052,21.06692,-5.0138903,14.774829,-13.514996,-2.5994272,-15.024896,-15.129799,30.25079,-3.5462925,18.924768,-8.289808,-31.158697,-10.325709,-6.335007,-24.029577,11.555109,3.2524056,30.164263,-11.290642,-9.379496,12.287419,22.977032,24.779066,-0.293589,-5.0827746,13.822459,-8.618736,0.0044152862,13.047127,4.739599,-10.813784,-3.5368536,11.214919,-12.480081,35.91244,-22.439034,8.692132,-5.031202,-9.249351,14.10597,7.3153615,0.0
4.546556,-8.628555,-100.56126,30.292988,-28.782679,11.955135,31.41045,10.733553,26.617966,-26.90992,10.220975,-15.147545,-6.0058694,-37.332966,-13.8273735,-8.33266,-3.6100757,-13.9378195,-24.387667,-4.033209,2.7055397,3.707299,-0.9524023,14.678436,19.46117,-1.0796818,-0.46493044,-11.473661,24.38457,-30.371399,19.654282,17.724796,17.045609,20.764679,-24.195457,-1.471842,27.092218,-16.529963,-5.4625363,-9.817427,-2.618141,-6.0189166,1.1308944,9.401999,-15.7769165,18.007797,27.179628,21.116829,-9.94197,-11.002527,0.0
13.969452,-17.141022,-19.5532,1.1562595,-28.81496,-25.918043,-37.00578,11.051662,32.87312,6.366947,11.548896,-13.497378,-27.342503,5.7268176,-24.133497,13.256031,-10.5988245,-3.2815506,-18.577295,0.5890357,-5.683865,-13.796066,1.0679044,30.129343,13.377387,-4.0364876,13.927549,12.335433,21.204084,1.4559218,29.28744,-10.681144,-4.690428,2.4114084,28.056408,-27.11511,8.853151,7.381645,15.510726,-1.586802,9.240747,25.998549,-2.9969838,0.5661887,-2.3615265,-8.048707,-17.970509,-7.39542,-11.3008175,9.843273,1.0
-5.1857095,-22.808168,47.28768,69.65072,-13.504474,2.36231,9.001296,-10.672569,-45.572872,-5.504066,42.84501,9.417948,-17.763372,3.6514554,-14.835203,26.471184,8.694219,4.3754106,-4.486451,15.383694,-5.6569457,4.2116137,-4.5156264,17.968702,-27.542332,4.8285875,31.463276,15.080726,20.492062,-25.024305,0.5083917,-20.205124,18.719725,-25.636688,-13.159554,4.1530714,1.8647634,-1.5858114,12.084001,-2.6323628,-13.981334,-8.564558,-29.234636,11.816242,-4.4156194,-3.457963,-29.062197,23.938118,50.03693,-1.0562807,0.0
10.365436,23.285437,2.6381788,27.278723,5.042839,12.6159935,-20.2973,14.220032,24.785473,15.411177,-4.9021387,-9.856007,12.945643,-32.57331,35.068413,17.718527,25.476986,-24.648216,22.238398,-4.183458,-20.456448,-39.806087,-3.6437783,10.465979,3.9221761,1.2347113,-3.5425007,5.0662994,6.3393946,-39.371098,3.2743754,-37.8899,-1.4084022,-5.689929,-11.143769,15.860756,1.7221665,-0.90670735,45.197815,-11.2017565,-11.339931,-16.907549,20.65427,-3.8274927,21.799318,29.324306,4.0207825,-8.024049,-8.227302,-2.4996867,0.0
-62.900936,25.055058,-38.89742,-53.05227,-21.893116,9.231065,-21.644974,-14.86018,7.7477393,17.533745,30.081648,-3.2984273,21.325895,-2.0114045,4.3893323,24.931988,0.40930378,41.646652,10.451519,-13.952034,6.1586676,-19.80959,-7.43501,-17.825256,-4.386173,-0.7697616,-3.678396,-39.61022,-16.91712,8.084391,28.238005,30.980352,-1.778153,-16.392126,1.8334773,4.320824,-28.828629,-17.23346,-30.127718,1.3601583,5.9625707,-11.036516,3.8589444,32.386345,-2.5007246,-10.556886,19.573244,1.6398252,-3.131558,15.6897,1.0
5.236156,-5.90956,21.939268,-20.154306,6.47746,0.54069036,-19.599545,-11.792501,65.27247,-28.086918,3.8403566,6.6962285,14.814982,15.950486,-22.139658,-20.473099,-12.582541,-20.191395,-14.312594,5.5797215,15.018703,10.29747,8.394005,-36.65855,-0.03447504,-27.139135,7.586,9.902494,-5.7235036,-18.88782,8.395535,-9.346014,27.319603,1.1826403,9.220771,36.90532,12.875508,-6.7333117,-22.152378,18.750265,18.335884,-20.335201,26.865637,-14.6403475,-5.389684,-21.073458,14.346591,26.623857,11.585537,16.890652,1.0
-36.459553,35.725376,14.29389,-18.20673,2.9799612,-4.2251987,-48.38619,4.631021,9.843769,68.10033,-31.665981,7.0489593,0.023049157,5.1702347,0.786865,-14.221851,15.263303,-13.155275,12.762487,-11.12236,10.615946,17.060137,9.393402,10.815183,15.143503,21.759497,-4.9499145,11.836612,-23.157179,3.9315221,-19.958834,17.21122,-33.75778,6.3605266,-11.460997,-7.0720596,-0.1916407,16.369404,-17.190115,-25.058975,-4.1029396,21.940182,-0.91709363,11.195497,2.6748812,26.101343,-42.10406,-3.3618712,26.610823,-25.062574,0.0
-9.453621,12.548449,-37.902164,13.898472,-11.838735,-28.544538,6.113116,27.161415,-6.2438,-38.62286,4.939641,-10.217132,-26.269747,-35.394924,-40.879982,7.490805,4.7178226,-6.932266,1.3997362,-8.7601595,1.3803892,25.687529,-23.208675,-2.8166838,16.894547,20.425034,17.283007,-18.691977,-17.572453,17.328094,-14.245224,-5.5572004,6.678133,27.731941,2.2442517,9.80704,-9.671204,-41.95942,1.2049997,-2.1824186,-28.033981,-9.141206,-3.0011587,-21.05446,-24.358252,18.242668,-13.932128,-0.61742026,-5.1226788,0.27111152,0.0
-15.272975,8.512695,13.405557,18.154058,15.568078,-33.03673,-25.328064,28.39838,-0.12334452,8.687364,2.3788004,-12.016169,18.189682,2.4329607,-4.9556804,-16.639412,-6.411703,-20.482569,26.51277,-6.931678,10.137638,-28.6577,-1.2962399,-2.4901967,-18.044695,-7.8011527,4.1513276,-12.638536,-12.782554,5.919028,-16.93995,14.971272,8.729414,9.791293,-17.790749,3.8718257,-27.079802,-21.606188,28.452242,4.532402,-13.452066,1.8744175,-0.1248903,-27.1212,37.302795,-5.591234,-13.801006,-19.665257,4.7793226,10.608762,0.0
29.249907,3.3596754,-10.022955,-17.32974,-0.59037536,13.6649065,-9.55303,-24.480669,-19.409166,13.123014,52.79909,-32.296886,0.5285037,14.499991,5.850981,19.078451,-6.2242765,-9.968145,-1.1856371,5.3359447,-7.0007668,-6.843005,-0.24291892,-10.28894,-24.328028,35.258503,22.595474,11.490097,-24.464497,19.867668,-27.653149,6.1547084,-3.9711769,30.07049,7.051511,9.798732,-2.4303012,11.477562,15.196398,4.2957854,-7.099337,-1.3045111,-30.689306,-8.436518,-14.056126,4.638726,19.813253,4.9258246,-12.508211,-40.269653,1.0
-1.8220603,-27.575842,44.545135,29.311388,3.8827395,-12.649739,28.356342,19.969013,8.120835,18.360743,39.716988,-16.112843,-3.8505762,22.394798,10.358048,-5.8615613,-19.006924,-6.9734416,2.3217707,6.5975533,-11.0584345,-5.6416335,-0.50697124,-26.52752,-9.9658165,25.800299,-8.696632,-10.403893,-4.4876833,-20.95749,-13.86998,-31.866596,0.78034043,-10.868615,15.363607,12.080223,20.83924,3.2129889,15.496578,22.639809,0.1728017,14.513935,-17.444876,1.6410751,5.977204,-5.845229,-6.0144877,9.705333,-17.15219,6.4359746,0.0
42.81842,20.257185,17.440147,18.941221,-3.9823754,3.103538,5.6631246,-24.886847,-8.7940445,25.578302,28.590477,12.515252,-7.398634,-1.1059651,17.652884,8.34354,-2.1187384,-21.301546,-16.485167,21.553976,-26.86072,-27.280872,-12.23909,9.43916,-4.769444,-4.9501557,19.501291,-9.333763,-1.6269442,12.254831,-43.843464,-23.88801,-1.4294584,34.880554,5.835051,31.144714,5.6530266,12.120939,-14.277747,-27.391953,-8.65773,7.457072,26.849312,-5.3300767,-1.8451409,-16.036379,5.1281185,45.270702,-21.764248,5.202605,1.0
-57.569553,-25.085697,-62.05017,-11.035402,-2.7755527,-9.40264,29.226313,-8.705003,-9.097906,-6.1933546,25.31177,-3.8770642,8.8036375,9.858146,-6.3722324,7.332133,28.069757,-11.500326,-4.739355,-24.034798,6.5706954,8.55474,-2.4060006,25.985384,3.3809216,4.435539,16.151665,-10.625276,19.930836,-6.066895,-5.286758,15.56669,-33.237278,23.902567,-30.116734,-11.707105,2.5988014,-18.550056,-22.955326,-17.53338,15.235317,6.519631,-9.649399,-7.714761,-16.403337,24.90657,-14.664695,-39.369663,14.247266,13.589615,1.0
3.309937,1.2653897,-9.053433,-39.30701,49.390976,-5.3104086,-3.7872894,-19.241795,-13.194939,12.824757,43.144444,30.025286,23.474022,-5.5279365,9.105094,9.548196,17.027716,22.508858,-11.528489,-13.892659,16.37674,21.167131,10.322383,3.6894388,-1.5253478,-0.6222538,-6.879128,-6.2236614,-17.331491,9.89681,3.2140086,3.7499259,19.74457,-11.8481045,-5.010104,24.59101,-46.30011,-44.66999,-19.856169,0.7511596,5.4481816,1.4674814,18.408161,2.3935423,-30.613457,3.0491548,-2.1334667,-2.0157642,7.7218375,3.7077832,0.0
-94.88916,41.230553,-2.474838,-5.8165083,-8.00852,24.30439,-17.474209,19.560152,-11.266451,16.017452,-7.4770155,3.4569423,-17.557468,38.917896,21.02668,9.660294,8.889255,-13.278405,17.496109,-10.650463,1.5230905,17.04936,-21.123964,-34.15487,2.8260546,4.0882735,9.842303,35.55825,36.586357,5.064176,-1.4279073,3.3380282,-0.07960388,29.171747,4.6067147,7.4862976,-8.598953,-21.660702,-24.59507,-23.118826,-16.365503,-34.428795,12.442005,7.2633924,7.626997,-32.396435,21.201763,7.1233244,18.871521,-18.468138,0.0
-23.410511,-18.438602,32.193634,16.551762,22.856417,27.626846,38.104992,-46.141468,-14.267008,14.897895,15.068832,-21.602896,4.7999444,-4.1039567,-19.492628,-19.099716,25.267519,-6.2723026,-39.46058,1.1571712,-3.4416878,32.822327,10.871156,16.467367,-21.083004,3.8597205,-6.618916,-6.455533,-7.62657,-8.791755,-21.757334,-19.11602,46.408848,-2.4913971,-10.716003,-3.7119565,12.1794615,-11.856623,21.186329,-35.272465,19.542929,14.343533,-19.580233,3.2027757,-4.898807,7.897491,3.5820012,12.981886,-17.491533,6.7115564,0.0
46.198826,30.713133,2.282417,-4.2319655,-63.47802,18.479721,53.65194,-28.014547,3.4924445,-31.02647,15.26301,24.49312,-3.4433563,-16.115017,19.014078,-2.30393,-12.991949,9.333416,1.045203,15.650403,-15.317241,8.113515,7.4956026,1.3786516,-18.234133,-34.31084,-15.709583,-14.121137,-5.8467197,6.9046364,4.583099,6.5207515,-1.6146573,17.564514,-25.650778,-17.137514,-21.290968,-36.08083,0.92129594,7.4015226,10.922477,-11.961734,-19.174738,23.21412,18.526728,14.199059,14.999464,-3.9356897,-21.741812,-21.537632,0.0
-9.427432,-64.941154,-13.449592,-15.374584,-6.340089,-27.289244,-19.201092,-16.609293,4.483736,21.758444,-0.9652247,-21.929213,16.476786,-7.081008,-7.403128,-5.7122746,-6.8727517,31.160206,12.240917,-27.750036,-2.8479111,8.43178,2.7239819,-1.0913903,-18.126642,-33.82413,36.07535,-7.265687,15.83362,1.4523188,-1.9075117,-2.2568207,-8.471459,6.5256205,-20.29753,-12.481633,-5.4314804,10.978118,7.6450567,-11.040101,24.412447,-4.9668303,20.173153,17.032536,20.055073,12.076679,-2.6914928,4.577998,24.13612,-11.030289,0.0
61.473152,-24.282772,-46.96218,15.419018,17.435202,5.8066998,7.7882004,-14.896054,-13.139825,-35.767567,-4.1517982,10.285577,3.6881807,-11.832229,21.35514,17.484787,-10.1205845,-21.047842,35.075333,-11.947816,3.0572667,-10.048813,-5.4885106,-8.610649,29.646914,13.878183,-10.46432,16.290087,-19.520655,-0.6848501,13.250512,7.69233,12.817627,-8.756096,11.560243,2.7392445,-18.631044,-12.511344,-23.6295,-9.584809,36.405064,-5.529454,10.35875,-6.0386467,-0.67108524,-2.3087215,-28.798681,4.0399885,3.1203432,-15.6370535,1.0
-75.80657,15.553564,-56.71864,-20.204315,-32.854454,-5.156731,-19.370226,27.151907,5.652324,12.752283,-5.1760488,-1.677581,11.788752,-20.17837,-24.720974,10.561996,29.963614,-0.08296185,-3.5729346,-14.290922,-13.393289,7.339501,-9.109879,-31.214554,-0.03587011,-5.6654415,23.779346,0.33278304,-18.877089,1.0309724,1.1867748,-7.392189,-1.417292,-10.263521,6.8985405,-9.908637,18.033558,-2.6901116,-11.080369,14.446669,-14.796068,0.5772805,-27.404993,-3.8213186,23.086607,13.441531,8.0375395,-11.723808,-13.229695,-4.922736,0.0
8.614698,81.9089,14.063182,6.113419,14.277297,20.681694,-11.256505,-16.434324,22.560934,-14.355126,22.176193,-15.356134,-27.487257,-1.8085876,14.461443,37.832466,-4.649144,-42.93971,0.35634363,15.311876,-27.0775,-7.2650013,5.646829,-0.10308184,-2.1200485,8.541561,-16.972942,14.16155,11.25254,-19.01287,-31.763454,2.5436327,-5.1065345,5.12466,24.6257,2.84241,1.1573664,21.078182,20.374987,-12.341289,-8.630673,3.5690958,1.30172,-17.589148,-7.551892,-8.822564,-12.302415,-1.298578,-6.227692,-3.7252932,1.0
-20.115278,-15.413856,35.463444,58.87665,-2.9263992,-6.816611,-34.398857,-0.70233893,-37.30621,-1.4504073,33.388065,-3.9208603,-8.543958,-10.915255,13.000541,10.86137,19.91663,-9.797282,-38.19657,35.941383,-26.53856,-9.401667,10.972405,-2.602404,-23.229515,-1.7571812,6.250994,8.043244,-37.981213,13.290795,47.743896,19.615778,-17.019337,-19.496977,2.1950564,-1.5600549,-0.45345077,30.624453,-52.324265,20.132473,-25.184568,3.704739,-9.933412,-4.189358,-4.2030864,-20.483307,1.0097102,-4.86571,7.8146324,18.231514,0.0
-25.044504,50.298397,-15.957977,-21.75289,-42.50856,30.66431,-24.576435,24.264637,-24.724953,-2.8819265,-31.480642,44.74962,-4.6439795,40.10391,1.118088,4.0633335,-16.845564,9.567623,1.0757766,-9.59733,10.223372,8.599273,39.508812,24.425043,-3.4335337,27.346987,-26.370646,5.965623,4.6902137,-9.925388,8.293175,-1.1104327,20.327528,3.748486,4.554572,-1.0421369,18.105911,-20.636086,1.0180916,-11.739449,-11.595942,10.806818,19.787926,2.7770448,-7.9083457,-24.807089,-25.59404,-14.131705,5.9317822,16.245806,1.0
-108.56749,-38.468483,25.792864,14.486322,34.317276,-15.124433,1.4112277,-17.608057,6.3358893,-14.729588,18.286882,14.656915,-18.448679,-38.622555,36.639713,-35.49263,13.076979,-26.514318,5.951723,-5.736766,-26.705753,-5.1891665,2.407776,-5.587853,-25.098965,40.39366,-14.486849,3.131636,26.540491,-20.091955,18.15646,-4.813341,-11.3816395,-0.14893305,14.366148,5.0367637,-0.47249103,2.5525491,17.676188,6.7961535,19.913551,-1.1253694,-16.056732,3.7553012,34.774754,-4.595621,-5.8766546,-12.443881,17.370703,-3.3764057,0.0
10.735058,-10.432216,-26.652355,-8.340433,-37.95399,15.084587,-10.957272,18.030195,2.7458513,-11.653932,24.61081,20.485638,-6.4725676,-2.3409405,-40.370647,5.548201,-25.757969,4.490117,-6.31816,-22.06757,16.778843,-12.073972,-5.8177342,-7.433118,-19.429352,41.19791,-30.240076,-12.79517,13.8169365,14.056986,-17.474407,2.1522176,-15.966963,-6.3221235,-32.82287,-32.186443,12.364097,-31.761974,-9.532914,-3.417164,-6.1620593,-22.455736,-3.3024008,-9.505172,27.514679,-5.1476364,-10.125203,-8.226875,17.76319,-14.155077,1.0
-38.110115,-17.975988,-21.41567,4.2652993,4.488558,7.096371,-25.230984,-10.043318,-30.09741,14.398727,-22.932034,-16.287535,6.2139115,-13.098251,-0.4393822,-4.569717,-2.6316662,-13.136334,11.783449,-8.730258,20.77146,-28.130669,-1.7816067,3.5622418,25.989372,3.339144,-23.238152,20.872637,4.916696,20.297495,-19.380028,0.73498154,-4.6464562,-7.8595896,-25.885992,-1.1726044,23.768446,-3.171645,23.572046,19.41036,8.435498,-9.598605,21.508398,-18.968548,-0.9435663,-15.81003,6.5560274,5.4195075,-9.581455,5.26131,1.0
-39.86739,-24.443888,-9.314889,-35.256077,0.6967702,-1.0298291,-1.2295102,-10.726128,-30.105146,33.811413,-17.178986,-9.449038,-7.013505,-5.6398273,-0.8936924,-0.5721272,-25.436543,49.396362,6.286649,-6.4308653,5.28486,-16.640821,11.154125,-1.4394444,6.417725,12.420517,-5.31717,6.1840925,13.13854,-3.440039,15.351719,-1.7541697,-1.202045,-1.262493,21.451462,2.422836,-12.272395,3.9085584,-30.441761,13.864245,14.2673855,-1.501844,-1.1133796,-20.875029,-5.7731767,-20.324646,-19.126993,-32.905273,15.875752,-0.38923237,0.0
-26.67726,68.957466,8.660643,-12.84812,-8.566475,-31.598694,2.0302045,18.568933,-24.519997,9.481364,3.3686175,-0.8734187,22.091812,6.7420726,-53.104584,2.2940183,-3.196517,-21.54496,-28.818928,2.275353,15.576495,14.669863,9.857106,-5.670962,14.62881,18.747423,-7.2490783,3.842479,0.6730369,16.317184,-16.582188,-12.506889,9.686195,5.553781,7.631067,-4.268892,26.894432,-24.254406,-5.067901,-5.1134524,22.31975,13.658506,-2.7533123,19.55776,-3.8211818,10.99781,-8.409954,8.632249,7.067896,6.1738515,1.0
-6.7180796,-35.51804,-10.312093,19.355091,26.90491,9.300202,24.378998,1.7746652,-2.2615442,31.873148,25.424212,-21.62721,3.598058,4.2560244,41.91852,-30.738535,12.459075,-4.8159823,-32.688705,13.93738,13.916644,7.315057,-6.7859564,-9.193491,16.191225,-27.502436,13.775482,-33.023483,-10.082331,-2.390974,8.214919,-19.426422,-4.448464,37.52641,31.476576,1.7913976,4.3531103,3.156439,-0.7023639,-5.218518,-19.082092,-2.7943811,-0.33737347,5.044023,8.667624,2.9598958,2.6536255,-9.791266,-0.9332781,14.4918,0.0
-17.090502,16.844614,4.719722,-2.549679,1.4959525,-28.763758,-7.9499726,14.182631,13.118859,-3.853282,3.664083,-5.7252145,20.196106,27.081102,16.675655,6.244299,5.53681,4.0188704,-4.577069,-12.563314,-12.148629,1.06828,-4.3971086,25.659937,11.8539,-18.930496,8.914731,7.2261314,3.3047426,11.124939,-5.758968,-10.503793,20.067362,37.559433,-32.66612,-14.499595,16.551928,-2.9979246,-3.3382452,-1.3122079,-25.525654,7.475273,2.5884283,19.371286,1.8527745,-21.259161,-0.20508647,2.4421089,25.103638,-15.606821,0.0
-0.6506363,-6.9287753,18.82353,-1.5966606,17.825378,-15.9276495,-3.7328885,10.762252,-5.4683795,-11.721599,14.035419,18.140461,-10.1400795,4.5683823,-15.680525,2.7062914,15.903997,2.271995,12.441648,-33.71776,-30.800903,-2.8277082,34.382496,-19.858536,-1.2281272,-26.99428,-21.728909,23.672031,23.854073,2.6624358,17.625425,-33.958916,25.195713,-22.352215,3.1537209,8.467087,8.778616,40.078754,13.645056,-11.652208,-9.809578,16.202946,-15.004107,16.82411,2.994281,15.569988,2.552511,-11.230649,2.1972256,3.700107,0.0
40.893024,-5.519582,33.91772,-3.9613478,-12.079388,-30.968582,-28.336107,26.249111,-20.457613,24.144754,16.599106,-9.991021,-19.724955,10.4792385,2.3954344,5.842935,-3.9685204,33.439327,11.018449,-1.8681949,16.945398,-23.341503,-2.1198127,-12.841265,11.377589,-9.408495,-27.711557,-16.586426,10.385002,4.3094106,7.9770784,3.1479359,7.1017766,6.3202763,23.075937,-28.792044,27.77787,15.577065,0.48120636,19.940506,-10.936432,-7.735539,-13.665431,19.985708,-11.188496,-2.7585232,-11.617933,7.5879445,2.5715737,3.8135602,1.0
