PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,label
5.6711445,-0.25684974,-10.263258,1.7854502,3.1926792,10.115611,0.83551216,-0.2428677,-8.432805,-2.704746,2.3255796,-1.9753227,-6.6582866,-1.6164811,2.4086595,0.20307195,1.5814152,-0.6711681,-1.732363,1.0601833,-2.6158595,1.002663,-0.5618468,-0.8574485,0.9319157,2.2206182,0.38687357,0.35739765,0.3615412,1.8428949,0.069319226,-1.0408329,-2.7654717,1.2048631,0.6434752,-3.106181,-0.7200168,0.65907544,-1.2859015,-1.1376512,-0.2620891,2.3982282,2.4885647,1.960874,-0.93278325,0.06439992,0.5281997,-0.5047939,-0.99534273,-0.416345,0
1.2502751,9.008254,-4.718751,-0.5226207,0.5580359,7.8479223,-5.748904,7.7039757,5.919034,-2.779085,-0.37742463,-4.696458,0.007904038,3.1722615,1.7395036,-4.555985,-0.60432905,0.4148028,-3.2349563,1.7803735,0.52147084,-1.3069727,-0.13871932,0.92041624,5.123368,-0.9701078,5.2336926,-0.50726354,-1.069971,-2.0177147,-3.714956,0.19865587,0.6419697,1.7257037,0.75386554,1.0905894,-0.87024254,0.29494098,1.4328022,2.6671896,1.9404625,-0.2503071,-0.009047652,0.47069797,1.8513166,0.25829983,-0.07282865,-0.1883861,0.2851715,0.631876,0
-6.030702,7.580019,-6.8133492,-14.1543665,-0.28459457,-4.320102,6.701635,-0.96425396,-4.665266,6.047037,-2.1560352,5.581169,5.722111,-0.40794167,-3.087863,2.044197,0.5691426,4.4526663,2.0477414,2.6277523,-2.8376071,0.6955879,-0.10413042,-1.7025396,-2.0749698,1.4775738,1.992857,1.8594028,1.8336501,-0.069589645,-2.6099796,2.2237098,-2.0853894,1.262751,3.9186516,0.5783291,0.908638,2.2656124,-1.6458004,-0.7089906,-0.312664,-0.05515848,0.45814148,-2.6132343,-1.0878261,0.65749454,0.40940168,0.184641,-0.40406495,0.16931789,1
8.599432,-1.9259882,11.327355,13.8548355,-1.8865451,4.6102667,3.0811336,-9.492836,3.267789,4.7345037,-4.6075296,-3.7400877,1.4690092,-1.4596559,0.42353204,2.397694,2.080581,2.714035,-0.0011285456,2.2902331,0.34277707,1.2424333,-2.686289,2.9556684,4.410252,0.7715519,4.1707044,0.7355282,3.4537594,4.470964,0.47983038,-1.8047999,-2.2654767,-0.3726547,-1.9309806,-1.372946,0.8435955,-0.44242916,-0.44145268,0.4308933,2.8174171,-1.3952665,-3.5081604,-0.95662194,-1.5394437,-0.502616,-0.28557807,-0.068862356,0.55277294,-1.003686,0
4.347176,-2.8029149,-0.2833369,-13.265371,3.4373038,4.8109913,-1.7774081,2.2575886,4.8530164,7.095845,4.639691,4.4298296,6.002227,-0.311941,0.47314742,4.8725686,1.3701355,3.046159,-0.39112914,0.93281376,1.464369,-1.138772,-0.76288474,1.1795082,-5.8130007,-0.084189154,-0.23948553,-1.7837095,1.5617555,1.2196947,2.7318265,1.0455629,-2.195553,-0.47620997,1.1572796,-0.9989309,3.0667305,-0.01793489,-0.69296527,-1.0495659,-2.1346953,1.3289948,-0.55979574,-1.0908265,-1.103152,-0.15433173,-0.1323345,0.054562688,-0.38587755,0.7635565,0
-7.4084744,-4.219516,-1.6357379,-11.565178,3.344532,-6.7498655,-0.46369207,4.6940975,-3.7846134,-1.9207686,1.9466069,0.8325935,-4.081629,-2.9258366,-1.2401185,-1.5459113,3.2321122,-5.3210692,-2.161108,-0.63346833,4.9607983,-1.9948095,2.7295709,2.1651204,-0.12717542,-0.8860077,1.1776428,-2.275762,-1.8487177,-3.6851048,-2.3179555,-1.9419192,-0.22363804,0.18606588,-0.24127056,1.797411,-0.72182244,-0.94662964,0.79487336,-2.5719676,4.014654,-0.39513707,-1.0721173,-2.5329695,0.28752428,0.06428888,-0.64135957,2.057861,-0.9510406,-0.9243082,1
0.73555684,10.018345,-3.4934244,-3.3412247,3.9114063,-5.320386,-2.0451148,-0.7284879,-5.6533346,0.95300835,6.816913,1.5505707,0.6298191,6.262653,2.7596939,3.7224624,-7.4589396,2.1704197,7.9559393,0.5283828,1.3385847,0.464816,-3.2716253,0.5919069,-1.6426076,-2.0731246,0.012838664,-2.0334496,-2.531351,-2.8847666,0.8416318,2.31825,1.5887119,0.8531889,1.4956728,2.1159842,-0.5745429,0.032611858,0.7428879,-3.1628678,0.92703265,0.86090404,1.9776441,-1.5889013,0.07849012,-0.0962274,1.2832336,-0.8205849,-0.6516801,0.3722797,1
-6.4259357,-5.3182964,-5.4909716,1.6342975,3.6339436,3.291799,2.6722698,-4.7449603,2.487998,3.0497072,4.157669,6.080527,2.6126618,6.902349,-3.5530822,0.62861884,3.6162357,2.5036714,-1.025821,0.5950866,-1.7368677,-1.5714799,1.0680872,-1.6173856,0.94988,2.8203175,-2.5833087,3.2009416,1.4889843,-1.2562164,2.2841117,0.100458585,-2.21502,-1.9505639,2.27374,-0.8184922,-1.9483975,0.40718788,0.22784203,-1.672272,1.6719321,-0.8324755,0.17063639,-0.93734634,-0.29602048,0.19150707,-1.1139189,0.2066072,-1.0392413,0.37397775,0
-4.105119,6.007203,2.767311,-4.5906334,4.9026875,0.18872823,2.081949,3.027484,7.3750525,2.699433,1.0879499,1.3171862,2.6046326,0.17899832,-4.1852965,-4.162831,-4.310847,-0.17906536,1.0824704,-1.2805667,2.5632637,0.025231726,-0.4659299,-0.4446459,0.54403514,-1.6982023,-0.24569608,-0.7535859,2.8854086,1.8094484,-2.67345,-0.3025916,-0.25778192,-0.42621028,1.0590919,-0.5237021,-0.102281965,1.0354857,1.0817482,1.5564165,-1.4479047,0.24431974,-0.07667588,1.5375984,-1.200586,-1.1773717,0.5695751,2.5595274,1.7200103,0.67115456,0
26.118584,4.4751215,5.4557943,1.9029295,-1.9662431,-5.453871,-6.767495,-1.5581766,-1.5085739,-4.3050447,1.4418699,1.153968,-0.32520777,-3.2899735,-2.3780267,-0.69753134,0.7650831,-2.370613,-1.3843371,0.128818,-4.966256,-1.04458,0.45377138,2.907892,-3.6346152,0.7707952,0.5848671,0.71218395,-1.7513093,-0.9077687,0.25513637,0.12191197,2.0574236,1.8321823,-0.31855944,1.1033354,0.1305841,-0.97956085,-0.99535275,1.0250207,0.7826576,-2.5553837,-1.570175,-0.14612503,-2.122006,-0.12258484,-2.071088,1.8294178,0.97201097,-1.3660139,0
13.659879,-8.529576,6.9658566,-5.715715,2.791468,2.0766253,4.7792163,-3.9171674,7.418518,-3.0335581,-5.3508344,-2.7278783,-0.6820057,-1.4186757,-0.41906202,-1.1428108,-0.6845272,-0.77494556,0.65053093,3.0825229,-3.6555579,-1.074798,2.0551333,0.7267357,-0.02563796,-0.9937348,2.30494,0.71967715,2.1091676,-2.6800046,-2.611983,5.742915,1.4382018,-1.960783,-1.6599404,2.185334,0.6243457,-1.74373,2.7904677,-2.1384673,0.048885938,0.4084613,0.9560706,-0.090146296,0.19439414,1.0258453,-2.3312554,0.32727784,0.068935,-0.7626881,1
-5.8687725,-8.009991,-9.689448,0.7834039,3.8283374,2.7057073,2.0427835,-4.1388335,7.3179035,-3.8764083,7.2682376,-1.6073161,6.7801566,-2.709675,1.1038305,-1.386004,-1.2081923,1.030331,2.9096,0.54328346,-2.0124547,1.5537267,3.9368546,-1.9908407,-1.8832049,1.2143624,0.6533337,-1.4231312,-1.0666363,0.2939874,-2.7330163,0.84839803,-0.6780849,-0.94314873,3.5984695,0.4423954,0.38016728,-0.009365995,0.10345927,-1.8300867,-0.37004343,-0.73612934,-2.3945475,-0.7243197,-1.6704346,1.2071538,-1.3200457,-0.6629365,1.1244786,0.6051098,0
-10.92563,-7.200823,3.334357,9.765217,-11.829096,4.0629673,-2.592169,1.238411,1.1959358,-4.369128,5.653625,-1.4236016,-0.33189413,-0.103374094,0.29197982,3.5097919,-1.4327065,4.539094,0.7867316,-5.6563454,0.13971879,0.68837327,-0.19567622,-3.937902,-0.46369192,1.4412483,2.878826,1.6341983,0.4193702,-2.7412584,1.4738569,1.9343458,1.3684298,-2.3733156,0.18867977,3.3211267,-0.21340008,-0.014744833,-2.876658,1.189031,-1.0091827,1.2633692,-2.172519,-1.325097,1.3332437,0.18149309,-0.72942895,1.4260815,1.5282145,0.84255725,1
4.380943,6.421895,-3.9401464,-5.828796,-6.994308,-1.7090949,-1.8766227,2.84429,4.2168007,2.428387,-2.2661197,0.17115541,-1.5578088,3.7622461,-0.20052987,-3.8902206,-0.4290128,-5.8626723,-5.6474166,2.3508844,0.008046612,-0.39882654,0.97332305,-2.0719311,-1.1035597,-3.8730602,2.9552703,1.2046466,-1.9644269,0.014511027,3.33288,-1.6209097,1.3138543,-0.88129354,-2.7260742,-0.22885375,-0.60412675,-0.67369956,-1.7005847,1.350624,-1.2167213,1.4839838,1.7653174,1.1723776,-0.5056797,2.001758,-0.13090129,-1.1214976,-1.1774092,0.14262126,1
-10.861883,1.3721019,-1.263302,-2.5930188,8.382837,5.28161,2.245854,2.6958933,8.134516,5.616891,-5.2200255,-0.42521563,-3.3875594,-0.63358283,0.7089649,1.6182959,-0.5257157,0.14791457,2.039882,2.6069028,0.13721706,-1.4698476,1.4186347,-1.0991124,-0.63050723,-0.6587017,-2.419899,-0.4523113,0.9718548,-2.8352094,-0.21228372,-1.4170692,-1.2225164,0.8249205,1.1432227,0.22018838,0.4956024,1.32203,1.0363283,1.4330257,0.69728506,-0.47508147,0.650386,-2.170035,0.66754264,-0.856351,-1.039413,-0.10336056,0.28008917,1.0178083,0
-15.019536,-11.484648,-12.2537,-9.707279,-1.0973872,-0.85627156,-0.5440503,-1.1596932,-4.747521,0.038145848,-2.981168,-5.397954,-3.711753,5.7075553,-2.82662,4.185511,0.16173904,-0.0023918694,2.1373508,6.1195483,1.2193165,-0.30020538,-0.41993678,-6.2762213,3.3713965,-2.348462,3.517471,-1.20664,0.24642055,4.0290456,0.35209748,-0.30429927,1.4365474,-0.5797023,-0.19143443,-3.3203945,-0.7506261,-0.34366977,0.6613107,-2.1690142,-0.8062121,0.40858737,-1.0966308,-2.336374,-1.738644,-1.1310757,-2.9994106,0.28016832,-0.9107097,-0.26854664,0
1.4412382,-7.5914955,-7.7662277,8.220561,-7.208329,-4.1312094,-7.906577,3.8286455,5.28582,-3.8334348,-4.395447,5.4828796,-2.4274209,2.537803,3.5854251,6.0366464,2.2738771,2.8806887,-9.923892,2.009676,1.4192878,-3.3276136,0.7862498,-0.56693476,-1.3925261,-0.4984752,0.17906784,0.009204936,1.9019145,0.022912038,1.420925,-1.7528962,-1.6764646,-1.5133402,-0.70610887,-1.3045584,0.8720311,1.4679693,-1.9716433,1.0808522,0.20550556,-0.26822665,-0.17008062,2.2769027,1.3705356,0.9180579,-0.7531931,0.5558858,-0.14647323,-1.5464644,0
5.378518,1.7672049,0.50759256,0.8503911,8.020928,-9.638467,6.4790306,5.1987667,5.7009373,3.870458,3.2468843,2.767044,2.99262,2.4648888,2.0876403,3.1530523,2.8855484,-1.2614229,-1.2228383,-1.4452168,-1.8077517,-1.8915849,-0.73585355,-3.585656,5.4127154,0.91204196,0.48814192,-1.3530126,0.1234073,1.1749723,-0.08243629,1.8846583,-2.0004315,-0.5018882,-0.6317067,-1.4423844,0.66880685,0.48474792,-0.70369506,0.8585613,-2.9810925,-0.17467354,-0.7454559,-0.87720203,-0.120941535,0.20858006,-1.8970157,-1.4599538,1.0449548,-1.586048,0
19.376616,3.3298805,-8.171228,11.95195,-5.007178,0.19902335,-4.4862075,-6.0100293,-4.5309615,-6.2923675,0.508254,-1.3140506,-1.5210947,0.29293165,4.640432,3.089359,-0.73140895,-4.9583483,0.102428116,0.64039886,-0.031805664,-1.2523863,-2.2057948,1.7110257,-2.1382778,0.3361329,1.9864181,-1.6480521,-0.107417226,0.80931467,2.5753467,-2.2539763,-0.35511464,1.9498931,1.6277323,0.7174767,1.5085822,1.8252841,-0.0014382888,-0.26450092,-0.097059615,3.0411031,-2.6407077,-1.2971805,-2.2908726,-2.1850274,0.7395506,-0.26395383,0.1379209,1.5998981,0
17.935492,-2.4727254,14.1863365,0.050570257,8.27477,-1.5892165,5.11597,7.7759943,1.4401382,4.415456,-6.163597,3.000406,1.8802027,3.538002,-5.758422,0.4268845,3.1385891,-1.1292046,0.4351298,0.048720304,0.5367922,-0.23324473,2.2012057,0.4371277,-1.5432336,-0.5067106,1.0598544,1.367829,-0.15616778,-0.13428864,0.3854106,2.6305983,-0.54794306,-3.0437574,-1.569315,0.19682685,2.5323582,1.0909908,0.055436764,0.6979578,0.7383407,1.4697196,0.71561384,-0.7213261,4.0922217,0.10518736,1.1351507,-0.0998301,-0.55135906,-1.8607038,1
